Month,순위,제목,저자,출판사,판매지수,출판 년월,Genre
6,21,용의자들,정해연,위즈덤하우스,"판매지수 8,340",2024년 05월,Mystery
6,22,미 비포 유,조조 모예스,다산책방,"판매지수 13,452",2024년 04월,Romance
6,23,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,"판매지수 29,916",2023년 07월,Mystery
6,24,해리포터와 비밀의 방 1,J.K. 롤링,문학수첩,"판매지수 19,068",2019년 11월,Fantasy
6,25,기억서점,송유정,놀,"판매지수 7,227",2024년 05월,Fantasy
6,26,전지적 독자 시점 아트북 에디션 세트 2,싱숑,비채,"판매지수 6,906",2024년 05월,Fantasy
6,27,메리골드 마음 사진관,윤정은,북로망스,"판매지수 58,089",2024년 01월,Fantasy
6,28,악의,히가시노 게이고,현대문학,"판매지수 30,816",2019년 07월,Mystery
6,29,해리포터와 비밀의 방 2,J.K. 롤링,문학수첩,"판매지수 17,712",2019년 11월,Fantasy
6,30,히든 픽처스,제이슨 르쿨락,문학수첩,"판매지수 25,368",2024년 05월,Mystery
6,31,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,"판매지수 28,656",2023년 11월,Romance
6,32,활자잔혹극,루스 렌들,북스피어,"판매지수 7,092",2024년 06월,Mystery
6,33,저주토끼,정보라,래빗홀,"판매지수 25,566",2023년 04월,SF
6,34,해리 포터와 마법사의 돌 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 19,407",2020년 10월,Fantasy
6,35,수상한 한의원,배명은,텍스티(TXTY),"판매지수 35,157",2024년 01월,Fantasy
6,36,그리고 아무도 없었다,애거사 크리스티,황금가지,"판매지수 24,378",2013년 12월,Mystery
6,37,눈에 갇힌 외딴 산장에서,히가시노 게이고,재인,"판매지수 19,443",2023년 07월,Mystery
6,38,재와 물거품,김청귤,안전가옥,"판매지수 18,366",2021년 05월,Fantasy
6,39,당신에게 가고 있어,김보영,새파란상상 (파란미디어),"판매지수 4,920",2020년 05월,SF
6,40,가면산장 살인사건,히가시노 게이고,재인,"판매지수 16,269",2014년 09월,Mystery
6,41,"고양이 식당, 추억을 요리합니다",다카하시 유타,빈페이지,"판매지수 11,820",2023년 05월,Fantasy
6,42,나와 너의 365일,유이하,모모,"판매지수 17,976",2023년 03월,Romance
6,43,심판,베르나르 베르베르,열린책들,"판매지수 17,298",2020년 08월,SF
6,44,트로피컬 나이트,조예은,한겨레출판,"판매지수 20,289",2022년 08월,Mystery
6,45,해리포터와 아즈카반의 죄수 1,J.K. 롤링,문학수첩,"판매지수 13,632",2019년 11월,Fantasy
6,46,금단의 마술,히가시노 게이고,재인,"판매지수 22,164",2024년 02월,Mystery
6,47,해리포터와 아즈카반의 죄수 2,J.K. 롤링,문학수첩,"판매지수 13,218",2019년 11월,Fantasy
6,48,듄 신장판 전집 세트,프랭크 허버트,황금가지,"판매지수 28,932",2021년 01월,SF
6,49,마션,앤디 위어,알에이치코리아(RHK),"판매지수 13,500",2021년 05월,SF
6,50,해리포터와 불의 잔 1,J.K. 롤링,문학수첩,"판매지수 12,006",2019년 11월,Fantasy
6,51,프리즈너,B. A. 패리스,모모,"판매지수 3,522",2024년 06월,Horror
6,52,해리 포터와 아즈카반의 죄수 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 21,231",2023년 10월,Fantasy
6,53,전지적 독자 시점 PART 5 - 02,싱숑,비채,"판매지수 15,792",2023년 09월,Fantasy
6,54,종이 동물원,켄 리우,황금가지,"판매지수 7,821",2018년 11월,SF
6,55,전지적 독자 시점 PART 2 - 03,싱숑,비채,"판매지수 15,672",2023년 01월,Fantasy
6,56,해리포터와 불의 잔 2,J.K. 롤링,문학수첩,"판매지수 11,706",2019년 11월,Fantasy
6,57,블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아(RHK),"판매지수 24,054",2024년 03월,Mystery
6,58,전지적 독자 시점 PART 1 - 01,싱숑,비채,"판매지수 19,179",2022년 01월,Fantasy
6,59,러브 어페어 1~4 세트,이유진,파란 (파란미디어),"판매지수 3,306",2024년 07월,Romance
6,60,노트북,니콜라스 스파크스,모모,"판매지수 13,983",2024년 05월,Romance
6,61,말하고 싶은 비밀,사쿠라 이이요,모모,"판매지수 37,827",2023년 12월,Romance
6,62,전지적 독자 시점 PART 5 - 01,싱숑,비채,"판매지수 15,396",2023년 09월,Fantasy
6,63,전지적 독자 시점 PART 4 - 02,싱숑,비채,"판매지수 15,126",2023년 09월,Fantasy
6,64,전지적 독자 시점 PART 2 - 02,싱숑,비채,"판매지수 15,576",2023년 01월,Fantasy
6,65,직장 상사 악령 퇴치부,이사구,황금가지,"판매지수 9,078",2024년 02월,Mystery
6,66,21세기 마지막 첫사랑,김빵,자이언트북스,"판매지수 3,540",2024년 05월,Romance
6,67,전지적 독자 시점 PART 4 - 03,싱숑,비채,"판매지수 15,024",2023년 09월,Fantasy
6,68,전지적 독자 시점 PART 3 - 01,싱숑,비채,"판매지수 15,684",2023년 01월,Fantasy
6,69,전지적 독자 시점 PART 1 - 05,싱숑,비채,"판매지수 13,602",2022년 01월,Fantasy
6,70,게스트,B. A. 패리스,모모,"판매지수 3,054",2024년 06월,Horror
