월,추리/미스터리,공포/스릴러,판타지,무협,SF,역사,로맨스
1,20,6.7,40,0,13.3,6.7,13.3
2,29,6.5,38.7,0,19.4,0,6.5
3,23.1,11.5,30.8,0,30.8,0,3.8
4,16,12,36,0,28,0,8
5,16.7,8.3,41.7,0,20.8,0,12.5
6,12.5,4.2,37.5,0,37.5,0,8.3
7,25,4.2,25,0,25,12.5,8.3
8,33.3,12.1,27.3,0,15.2,3,9.1
9,33.3,12.1,27.3,0,15.2,3,9.1
10,21.1,5.3,21.1,0,31.6,5.3,15.8
11,25,8.3,29.2,0,20.8,4.2,12.5
12,24,8,40,0,24,4,0
