월,순위,제목,저자,출판사,판매지수,출판 년월
7,6,리틀 라이프 2,한야 야나기하라,시공사,"판매지수 161,835",2016년 06월
7,7,퀸의 대각선 1,베르나르 베르베르,열린책들,"판매지수 40,182",2024년 06월
7,8,마녀와의 7일,히가시노 게이고,현대문학,"판매지수 41,550",2024년 06월
7,9,퀸의 대각선 2,베르나르 베르베르,열린책들,"판매지수 38,916",2024년 06월
7,10,이처럼 사소한 것들,클레어 키건,다산책방,"판매지수 461,415",2023년 11월
7,11,구의 증명,최진영,은행나무,"판매지수 179,619",2023년 04월
7,12,홍학의 자리,정해연,엘릭시르,"판매지수 120,003",2021년 07월
7,13,아이가 없는 집,알렉스 안도릴,필름,"판매지수 43,032",2024년 06월
7,14,불편한 편의점,김호연,나무옆의자,"판매지수 145,920",2021년 04월
7,15,세상의 마지막 기차역,무라세 다케시,모모,"판매지수 131,535",2022년 05월
7,16,인간 실격,다자이 오사무,민음사,"판매지수 126,288",2004년 05월
7,17,시한부,백은별,바른북스,"판매지수 132,744",2024년 01월
7,18,음악소설집,김애란,프란츠,"판매지수 30,366",2024년 07월
7,19,탕비실,이미예,한끼,"판매지수 24,399",2024년 07월
7,20,두 사람의 인터내셔널,김기태,문학동네,"판매지수 66,888",2024년 05월
7,21,어린 왕자 오리지널 초판본,앙투안 드 생텍쥐페리,코너스톤(도서),"판매지수 125,037",2020년 09월
7,22,데미안,헤르만 헤세,민음사,"판매지수 138,279",2000년 12월
7,23,흐르는 강물처럼,셸리 리드,다산책방,"판매지수 76,257",2024년 01월
7,24,맡겨진 소녀,클레어 키건,다산책방,"판매지수 150,927",2023년 04월
7,25,불편한 편의점 2,김호연,나무옆의자,"판매지수 101,961",2022년 08월
7,26,포스 윙,레베카 야로스,북폴리오,"판매지수 38,337",2024년 06월
7,27,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,"판매지수 92,118",2018년 06월
7,28,나의 똑똑한 강아지,송희구,서삼독,"판매지수 11,526",2024년 07월
7,29,싯다르타,헤르만 헤세,민음사,"판매지수 80,934",2002년 01월
7,30,파친코 (합본 한정판),이민진,인플루엔셜,"판매지수 31,686",2023년 12월
7,31,1984,조지 오웰,민음사,"판매지수 86,292",2003년 06월
7,32,회색 인간,김동식,요다,"판매지수 77,001",2017년 12월
7,33,녹나무의 여신,히가시노 게이고,소미미디어,"판매지수 34,656",2024년 05월
7,34,아주 희미한 빛으로도,최은영,문학동네,"판매지수 97,425",2023년 08월
7,35,데미안 : 오리지널 초판본 표지디자인,헤르만 헤세,코너스톤(도서),"판매지수 73,245",2017년 01월
7,36,채식주의자,한강,창비,"판매지수 2,598,153",2022년 03월
7,37,소년이 온다,한강,창비,"판매지수 3,724,404",2014년 05월
7,38,동물농장,조지 오웰,민음사,"판매지수 68,490",2001년 02월
7,39,노르웨이의 숲,무라카미 하루키,민음사,"판매지수 67,848",2017년 08월
7,40,이방인,알베르 까뮈,민음사,"판매지수 76,038",2011년 03월
7,41,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,"판매지수 74,346",2021년 06월
7,42,적산가옥의 유령,조예은,현대문학,"판매지수 12,096",2024년 06월
7,43,달러구트 꿈 백화점,이미예,팩토리나인,"판매지수 57,615",2020년 07월
