Month,Rank,Title,Author,Publisher,Sales Point,Publication Month
1월,77,묵시록 살인사건,니시무라 교타로,블루홀식스(블루홀6),세일즈 포인트 정보 없음,2024년 1월
1월,78,마트료시카의 밤,아쓰카와 다쓰미,리드비,세일즈 포인트 정보 없음,2024년 1월
1월,79,꿰맨 눈의 마을,조예은,자음과모음,"7,286",2023년 12월
1월,80,세상의 마지막 기차역 (리커버 에디션),무라세 다케시,모모,"54,758",2022년 5월
1월,81,브람스를 좋아하세요...,프랑수아즈 사강,민음사,"38,839",2008년 5월
1월,82,리틀 라이프 1,한야 야나기하라,시공사,"65,757",2016년 6월
1월,83,논픽션 글쓰기 전설들,조문희,서해문집,세일즈 포인트 정보 없음,2023년 12월
1월,84,날씨가 좋으면 찾아가겠어요,이도우,수박설탕,"11,451",2023년 11월
1월,85,불편한 편의점 2 (단풍 에디션),김호연,나무옆의자,"55,894",2022년 8월
1월,86,노인과 바다,어니스트 헤밍웨이,민음사,"38,806",2012년 1월
1월,87,수족관,유래혁,포스터샵,세일즈 포인트 정보 없음,2023년 12월
1월,88,"설자은, 금성으로 돌아오다",정세랑,문학동네,"25,809",2023년 10월
1월,89,지구 끝의 온실,김초엽,자이언트북스,"45,617",2021년 8월
1월,90,삼국지 원전 완역판 세트 - 전10권,요시카와 에이지,코너스톤,"25,828",2020년 3월
1월,91,해리 포터 마법 연감,J.K. 롤링,문학수첩,세일즈 포인트 정보 없음,2023년 12월
1월,92,성은이 냥극하옵니다,백승화,안전가옥,세일즈 포인트 정보 없음,2023년 11월
1월,93,레티파크,유디트 헤르만,마라카스,세일즈 포인트 정보 없음,2023년 11월
1월,94,동물농장,조지 오웰,민음사,"72,757",1998년 8월
1월,95,용의자 X의 헌신,히가시노 게이고,재인,"32,422",2017년 8월
1월,96,소년이 온다,한강,창비,"1,544,378",2014년 5월
1월,98,이방인,알베르 카뮈,민음사,"58,642",2019년 9월
1월,99,스토너,존 윌리엄스,알에이치코리아(RHK),세일즈 포인트 정보 없음,2015년 1월
1월,100,달과 6펜스,서머싯 몸,민음사,"46,094",2000년 6월
2월,1,이처럼 사소한 것들,클레어 키건,다산책방,"236,370",2023년 11월
2월,2,맡겨진 소녀,클레어 키건,다산책방,"86,363",2023년 4월
2월,4,오로라,최진영,위즈덤하우스,"11,597",2024년 2월
2월,5,사라진 것들,앤드루 포터,문학동네,"25,970",2024년 1월
2월,7,금단의 마술,히가시노 게이고,재인,"9,853",2024년 2월
2월,8,끌리는 이야기는 어떻게 쓰는가,리사 크론,웅진지식하우스,세일즈 포인트 정보 없음,2024년 2월
2월,9,모순,양귀자,쓰다,"165,396",2013년 4월
2월,10,아주 희미한 빛으로도,최은영,문학동네,"79,454",2023년 8월
2월,11,도시와 그 불확실한 벽,무라카미 하루키,문학동네,세일즈 포인트 정보 없음,2023년 9월
2월,12,메리골드 마음 사진관,윤정은,북로망스,"19,193",2024년 1월
2월,13,듄의 세계,톰 허들스턴,황금가지,"5,994",2024년 1월
2월,14,마지막 마음이 들리는 공중전화,이수연,클레이하우스,"10,972",2024년 1월
2월,15,구의 증명,최진영,은행나무,"70,465",2023년 4월
2월,16,데미안 (오리지널 초판본 표지디자인),헤르만 헤세,코너스톤,"93,420",2017년 1월
2월,17,귀신들의 땅,천쓰홍,민음사,세일즈 포인트 정보 없음,2023년 12월
2월,19,인간 실격,다자이 오사무,민음사,"81,492",2004년 5월
2월,20,격정세계,찬쉐,은행나무,세일즈 포인트 정보 없음,2024년 1월
2월,21,단 한 사람,최진영,한겨레출판,세일즈 포인트 정보 없음,2023년 9월
2월,22,황금종이 1,조정래,해냄,"29,287",2023년 11월
2월,23,지구 생물체는 항복하라,정보라,래빗홀,"7,908",2024년 1월
2월,24,황금종이 2,조정래,해냄,"27,158",2023년 11월
2월,25,특수청소부,나카야마 시치리,블루홀식스(블루홀6),세일즈 포인트 정보 없음,2024년 2월
2월,26,광인,이혁진,민음사,"14,256",2023년 11월
2월,27,메리골드 마음 세탁소 (30만 부 기념 한정 플라워 에디션),윤정은,북로망스,"35,122",2023년 3월
2월,28,프랭키,요헨 구치,인플루엔셜(주),"3,038",2024년 1월
2월,29,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,세일즈 포인트 정보 없음,2023년 7월
2월,30,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,세일즈 포인트 정보 없음,2018년 6월
2월,31,매니악,벵하민 라바투트,문학동네,세일즈 포인트 정보 없음,2024년 1월
2월,32,살인자의 쇼핑몰,강지영,자음과모음,"6,278",2020년 2월
2월,33,트러스트,에르난 디아스,문학동네,"19,691",2023년 2월
2월,34,파친코 (합본 한정판),이민진,인플루엔셜(주),"15,949",2023년 12월
2월,35,프로젝트 헤일메리,앤디 위어,알에이치코리아(RHK),"36,452",2021년 5월
2월,36,마녀의 여행 17,시라이시 죠우기,㈜소미미디어,세일즈 포인트 정보 없음,2024년 3월
2월,37,로기완을 만났다 (리마스터판),조해진,창비,"7,110",2024년 2월
2월,38,난장이가 쏘아올린 작은 공,조세희,이성과힘,"56,644",2024년 2월
2월,39,듄 신장판 1~6 세트 - 전6권,프랭크 허버트,황금가지,"14,137",2021년 1월
2월,40,살인자의 쇼핑몰 2,강지영,자음과모음,"5,140",2023년 7월
2월,41,세상의 마지막 기차역 (리커버 에디션),무라세 다케시,모모,"54,758",2022년 5월
2월,42,가여운 것들,앨러스데어 그레이,황금가지,"10,473",2023년 4월
2월,43,불편한 편의점 (벚꽃 에디션),김호연,나무옆의자,"186,097",2021년 4월
2월,44,속임수의 섬,히가시가와 도쿠야,북다,"3,660",2024년 1월
2월,45,작가처럼 읽는 법,에린 M. 푸시먼,더난출판사,세일즈 포인트 정보 없음,2024년 2월
2월,46,데미안,헤르만 헤세,민음사,"103,297",2000년 12월
2월,47,명탐정의 창자,시라이 도모유키,내친구의서재,"3,706",2024년 1월
2월,48,수레바퀴 아래서 (오리지널 초판본 표지디자인),헤르만 헤세,코너스톤,"42,009",2017년 1월
2월,49,유녀전기 14,카를로 젠,데이즈엔터(주),세일즈 포인트 정보 없음,2024년 2월
2월,50,모비딕 (무삭제 완역본),허먼 멜빌,현대지성,세일즈 포인트 정보 없음,2022년 9월
2월,51,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,"34,394",2020년 4월
2월,52,듄 신장판 1,프랭크 허버트,황금가지,"11,955",2021년 1월
2월,53,노르웨이의 숲,무라카미 하루키,민음사,세일즈 포인트 정보 없음,2017년 8월
2월,54,아스트레아 레코드 3 : 정사결전 (특장판),오모리 후지노,㈜소미미디어,세일즈 포인트 정보 없음,2024년 2월
2월,55,밝은 밤,최은영,문학동네,"50,439",2021년 7월
2월,56,파과,구병모,위즈덤하우스,세일즈 포인트 정보 없음,2018년 4월
2월,57,1984,조지 오웰,민음사,"68,228",2003년 6월
2월,58,Re : 제로부터 시작하는 이세계 생활 34,나가츠키 탓페이,데이즈엔터(주),세일즈 포인트 정보 없음,2024년 2월
2월,59,시차와 시대착오,전하영,문학동네,"2,620",2024년 2월
2월,60,아버지의 해방일지 (30만부 기념 특별 리커버),정지아,창비,"13,140",2022년 9월
2월,61,작별하지 않는다,한강,문학동네,"1,025,288",2021년 9월
2월,62,불편한 편의점 2 (단풍 에디션),김호연,나무옆의자,"55,894",2022년 8월
2월,63,1984 (오리지널 초판본 표지 디자인),조지 오웰,코너스톤,"31,243",2020년 6월
2월,64,아침 그리고 저녁,욘 포세,문학동네,"32,482",2019년 7월
2월,65,동물농장,조지 오웰,민음사,"72,757",1998년 8월
2월,66,작은 책방,엘리너 파전,수박설탕,세일즈 포인트 정보 없음,2023년 12월
2월,67,싯다르타,헤르만 헤세,민음사,"56,030",2002년 1월
2월,68,바다가 들리는 편의점 (겨울 한정판 에디션),마치다 소노코,모모,세일즈 포인트 정보 없음,2023년 11월
2월,69,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,세일즈 포인트 정보 없음,2023년 11월
2월,70,지구 끝의 온실,김초엽,자이언트북스,"45,617",2021년 8월
2월,71,직장 상사 악령 퇴치부,이사구,황금가지,"4,667",2024년 2월
2월,72,어서 오세요 실력지상주의 교실에 2학년 편 10,키누가사 쇼고,㈜소미미디어,세일즈 포인트 정보 없음,2024년 2월
2월,73,아몬드,손원평,다즐링,세일즈 포인트 정보 없음,2023년 7월
2월,74,브람스를 좋아하세요...,프랑수아즈 사강,민음사,"38,839",2008년 5월
