Month,Title,Author,Publisher,Publish_Date,Category
3,듄 2: 듄의 메시아(DUNE MESSIAH),프랭크 허버트,황금가지,2021.01.21,sf
3,달러구트 꿈 백화점,이미예,팩토리나인,2020.07.08,fantasy
3,속임수의 섬,히가시가와 도쿠야,북다,2024.01.29,mystery
3,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,2023.01.25,mystery
3,듄의 세계,톰 허들스턴,황금가지,2024.01.04,sf
3,해리 포터와 마법사의 돌 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,2019.11.19,fantasy
3,직장 상사 악령 퇴치부,이사구,황금가지,2024.02.15,mystery
3,용의자 X의 헌신,히가시노 게이고,재인,2017.08.30,mystery
3,해리 포터와 마법사의 돌 2(해리포터 20주년 개정판),J. K. 롤링,문학수첩,2019.11.19,fantasy
1,메리골드 마음 사진관,윤정은,북로망스,2024.01.12,fantasy
1,눈에 갇힌 외딴 산장에서,히가시노 게이고,재인,2023.07.18,mystery
1,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
1,살인자의 쇼핑몰 1,강지영,자음과모음,2020.02.14,mystery
1,달러구트 꿈 백화점,이미예,팩토리나인,2020.07.08,fantasy
1,전생했더니 슬라임이었던 건에 대하여 21,후세,소미미디어,2024.01.18,fantasy
1,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,2023.01.25,mystery
1,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,2023.11.13,romance
1,해리 포터와 마법사의 돌 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,2019.11.19,fantasy
1,지구 끝의 온실,김초엽,자이언트북스,2021.08.18,sf
1,살인자의 쇼핑몰 2,강지영,자음과모음,2023.07.28,mystery
1,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
1,해리 포터와 아즈카반의 죄수(미나리마 에디션),조앤 K. 롤링,문학수첩,2023.10.03,fantasy
1,천 개의 파랑,천선란,허블,2020.08.19,sf
1,프로젝트 헤일메리,앤디 위어,알에이치코리아,2021.05.04,sf
1,용의자 X의 헌신,히가시노 게이고,재인,2017.08.30,mystery
1,달러구트 꿈 백화점 2,이미예,팩토리나인,2021.07.27,fantasy
1,해리 포터와 마법사의 돌 2(해리포터 20주년 개정판),J. K. 롤링,문학수첩,2019.11.19,fantasy
1,요괴어사 2: 각성,설민석 외,단꿈아이,2023.12.18,fantasy
1,듄의 세계,톰 허들스턴,황금가지,2024.01.04,sf
1,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,2023.07.27,mystery
8,당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23,mystery
8,백설공주에게 죽음을,넬레 노이하우스,북로드,2024.05.24,mystery
8,네가 유성처럼 스러지는 모습을 지켜볼 운명이었다,미나토 쇼,필름(Feelm),2024.07.17,romance
8,아이가 없는 집,알렉스 안도릴,필름(Feelm),2024.06.12,mystery
8,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
8,"아서 코난 도일, 선상 미스터리 단편 컬렉션",아서 코난도일,센텐스(SENTENCE),2024.08.26,mystery
8,프로젝트 헤일메리(리커버:K),앤디 위어,알에이치코리아,2024.06.30,sf
8,천 개의 파랑,천선란,허블,2020.08.19,sf
8,용의자 X의 헌신,히가시노 게이고,재인,2017.08.30,mystery
8,삼체 1~3 세트,류츠신,자음과모음,2024.06.07,sf
