Month,Title,Author,Publisher,Publish_Date
1,나는 메트로폴리탄 미술관의 경비원입니다(20만 부 기념 양장 에디션),패트릭 브링리,웅진지식하우스,2023.11.24
1,마흔에 읽는 쇼펜하우어,강용수,유노북스,2023.09.07
1,처음부터 시작하는 주식투자 단타전략,홍인기,길벗,2023.12.22
1,예약판매세이노의 가르침(올블랙 유광 에디션),세이노(SayNo),데이원,2023.03.02
1,ETS 토익 정기시험 기출문제집 1000 Vol 4 RC(리딩),ETS,YBM,2023.12.18
1,해커스 토익 기출 VOCA(보카),David Cho,해커스어학연구소,2024.08.19
1,ETS 토익 정기시험 기출문제집 1000 Vol 4 LC(리스닝),ETS,YBM,2023.12.18
1,퓨처 셀프,벤저민 하디,상상스퀘어,2023.08.30
1,이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27
1,남에게 보여주려고 인생을 낭비하지 마라,쇼펜하우어,페이지2북스,2023.10.30
1,해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,2023.07.24
1,내가 한 말을 내가 오해하지 않기로 함,문상훈,위너스북,2024.01.05
1,도둑맞은 집중력,요한 하리,어크로스,2023.04.28
1,해커스 토익 LC Listening(리스닝) 기본서,David Cho,해커스어학연구소,2023.07.24
1,트렌드 코리아 2024,김난도 외,미래의창,2023.10.12
1,토익 단기공략 750+(LC+RC),ETS,YBM,2020.08.20
1,"푸바오, 언제나 사랑해",에버랜드 동물원,시공주니어,2024.01.15
1,"죽음이 물었다, 어떻게 살 거냐고",한스 할터,포레스트북스,2023.12.25
1,역행자(확장판),자청,웅진지식하우스,2023.05.29
1,사람과 돈이 따르는 센스 있는 3초 표현,아소 사이카,아이템하우스,2024.01.15
1,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(상)",최태성,이투스북,2023.12.01
1,생각이 너무 많은 어른들을 위한 심리학(20만 부 기념 리커버 에디션),김혜남,메이븐,2023.09.25
1,메리골드 마음 사진관,윤정은,북로망스,2024.01.12
1,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(하)",최태성,이투스북,2023.12.01
1,유목민의 투자의 정석,유목민,리더스북,2024.01.17
1,데일 카네기 인간관계론(50만부 돌파 초판 무삭제 완역본),데일 카네기,현대지성,2019.10.07
1,당신은 결국 무엇이든 해내는 사람(특별 리커버 에디션),김상현,필름(Feelm),2022.04.20
1,당신이 만나야 할 단 하나의 논어,판덩,미디어숲,2024.01.30
1,모순,양귀자,쓰다,2013.04.01
1,하는 일마다 잘되리라,전승환,북로망스,2023.11.13
1,세상은 이야기로 만들어졌다,자미라 엘 우아실 외,원더박스,2023.10.16
1,아주 희미한 빛으로도,최은영,문학동네,2023.08.07
1,해커스 토익 실전 1000제 1 RC Reading(리딩) 문제집,해커스 어학연구소,해커스어학연구소,2023.11.06
1,쇼펜하우어 아포리즘: 당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까,아르투어 쇼펜하우어,포레스트북스,2023.06.21
1,해커스 토익 실전 1000제 1 LC Listening(리스닝) 문제집,해커스 어학연구소,해커스어학연구소,2024.06.13
1,맡겨진 소녀,클레어 키건,다산책방,2023.04.21
1,당신이 생각하는 모든 것을 믿지 말라,조세프 응우옌,서삼독,2023.11.22
1,돈의 속성(300쇄 리커버에디션),김승호,스노우폭스북스,2020.06.15
1,흔한남매 15,흔한남매,미래엔아이세움,2023.12.14
1,더 마인드(10만부 기념 코멘터리 북),하와이 대저택,웅진지식하우스,2023.11.25
1,사는 동안 한 번은 팔아봐라,서과장,마인드셋,2024.01.10
1,인생은 순간이다,김성근,다산북스,2023.11.15
1,하와이 대저택 100일 미라클,하와이 대저택,메가스터디북스,2024.01.25
1,나는 배당투자로 매일 스타벅스 커피를 공짜로 마신다,송민섭(수페TV),21세기북스,2023.12.06
1,기분 좋은 말투 품격 있는 말투,리징,지니의서재,2024.01.30
