월,순위,제목,저자,출판사,판매지수,출판 년월
6,33,나는 너에게 10년 치의 『    』을 전하고 싶어,아마노 아타루,제우미디어,"판매지수 2,172",2019년 10월
6,34,낙원의 이론 4,정선우,파란 (파란미디어),"판매지수 2,058",2019년 07월
6,35,낙원의 이론 1,정선우,파란 (파란미디어),"판매지수 2,526",2019년 07월
6,36,시간의 계단 2,주영하,블라썸,"판매지수 2,544",2019년 02월
6,37,개를 데리고 다니는 남자,김화진,북다,"판매지수 1,704",2024년 06월
6,38,브릴리언트 블루,함지성,도서출판 잔,판매지수 336,2024년 06월
6,39,하렘의 남자들 5,알파타르트,해피북스투유,"판매지수 1,032",2024년 04월
6,40,설렘의 기억,서은수,가하,판매지수 642,2020년 09월
6,41,너의 췌장을 먹고 싶어 (노블판),스미노 요루,소미미디어,"판매지수 2,658",2017년 03월
6,42,사랑하는 나의 억압자 3,서사희,블라썸,판매지수 408,2024년 05월
6,43,봄그늘 1~5 세트,김차차,파란 (파란미디어),"판매지수 5,916",2024년 02월
6,44,여름의 너에게 겨울에 내가 갈게,닌겐 로쿠도,북폴리오,"판매지수 2,280",2023년 07월
6,45,낙원의 이론 3,정선우,파란 (파란미디어),"판매지수 1,974",2019년 07월
6,46,Say yes all blue 세이 예스 올 블루,김제이,YOUNGCOM(영컴),"판매지수 1,422",2024년 04월
6,47,"어느 날, 너의 심장이 멈출 거라 말했다",클로에 윤,팩토리나인,"판매지수 1,986",2021년 12월
6,48,악역의 엔딩은 죽음뿐 5 외전,권겨을,디앤씨미디어(D&C미디어),판매지수 774,2020년 09월
6,49,악역의 엔딩은 죽음뿐 4,권겨을,디앤씨미디어(D&C미디어),판매지수 696,2020년 09월
6,50,악역의 엔딩은 죽음뿐 3,권겨을,디앤씨미디어(D&C미디어),판매지수 774,2020년 09월
6,51,낙원의 이론 2,정선우,파란 (파란미디어),"판매지수 2,100",2019년 07월
6,52,재혼황후 8 + 미공개 외전 세트,알파타르트,해피북스투유,"판매지수 2,160",2022년 12월
6,53,리마인더스 오브 힘,콜린 후버,미래지향,"판매지수 1,344",2024년 04월
6,54,이토록 완벽한 실종,줄리안 맥클린,해피북스투유,"판매지수 3,600",2023년 12월
6,55,"비록, 닿을 수 없는 너의 세상일지라도",미아키 스가루,팩토리나인,"판매지수 1,968",2023년 03월
6,56,옷소매 붉은 끝동 세트,강미강,청어람,"판매지수 1,680",2022년 06월
6,57,악역의 엔딩은 죽음뿐 2,권겨을,디앤씨미디어(D&C미디어),판매지수 780,2020년 09월
6,58,악역의 엔딩은 죽음뿐 1,권겨을,디앤씨미디어(D&C미디어),판매지수 660,2020년 09월
6,59,사랑하는 나의 억압자 4,서사희,블라썸,판매지수 312,2024년 05월
6,60,금수별곡,마셰리,YOUNGCOM(영컴),"판매지수 1,878",2024년 01월
6,61,우리 집에는 쥐가 있다,김수지,오후,"판매지수 1,374",2023년 10월
6,62,폐후의 귀환 세트,천산다객,만월,판매지수 600,2020년 12월
6,63,캘큐레이티드,노바 맥비,사유와공감,판매지수 312,2024년 06월
6,64,점괘보는 공녀님 1~5 세트,사이딘,마롱,"판매지수 1,212",2023년 12월
6,65,무림세가 천대받는 손녀 딸이 되었다 2,마루별,연담,판매지수 492,2023년 03월
6,66,악녀라서 편하고 좋은데요? 1,망고킴,연담,판매지수 534,2023년 01월
6,67,너를 사랑했던 한 사람의 나에게,오토노 요모지,모모,"판매지수 1,662",2022년 10월
6,68,내가 사랑했던 모든 너에게,오토노 요모지,모모,"판매지수 1,758",2022년 10월
6,69,희란국 연가,김수지,FEEL,"판매지수 1,122",2019년 01월
6,70,키스 온 더 피스트 세트,민혜윤,파란 (파란미디어),판매지수 372,2018년 08월
6,71,내가 죽기 일주일 전,서은채,황금가지,"판매지수 1,914",2018년 03월
6,72,"그 여름, 나는",최수현,가하,"판매지수 1,332",2018년 01월
6,73,재혼황후 7,알파타르트,해피북스투유,"판매지수 1,428",2022년 04월
