월,순위,제목,저자,출판사,판매지수,출판 년월
1,94,드래곤 라자 양장 세트,이영도,황금가지,"판매지수 4,044",2008년 11월
1,95,오버로드 15,마루야마 쿠가네,영상출판미디어,"판매지수 2,454",2022년 09월
1,96,원하고 바라옵건대,김보영,안전가옥,"판매지수 1,686",2023년 12월
1,97,얼음나무 숲,하지은,황금가지,"판매지수 5,310",2020년 03월
1,98,재벌집 막내아들 4,산경,테라코타,"판매지수 2,946",2022년 11월
1,99,리그 오브 레전드 : 공식 스토리북,라이엇 게임즈,제우미디어,"판매지수 3,576",2020년 04월
1,100,재벌집 막내아들 1,산경,테라코타,"판매지수 3,084",2022년 11월
2,1,메리골드 마음 사진관,윤정은,북로망스,"판매지수 58,368",2024년 01월
2,2,수상한 한의원,배명은,텍스티(TXTY),"판매지수 34,788",2024년 01월
2,3,세상의 마지막 기차역,무라세 다케시,모모,"판매지수 131,535",2022년 05월
2,4,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,294",2020년 04월
2,5,해리포터와 마법사의 돌 1,J.K. 롤링,문학수첩,"판매지수 35,604",2019년 11월
2,6,달러구트 꿈 백화점,이미예,팩토리나인,"판매지수 57,615",2020년 07월
2,7,달러구트 꿈 백화점 2,이미예,팩토리나인,"판매지수 40,062",2021년 07월
2,8,해리포터와 마법사의 돌 2,J.K. 롤링,문학수첩,"판매지수 29,832",2019년 11월
2,9,요괴어사 2,설민석,단꿈아이,"판매지수 13,698",2023년 12월
2,10,해리 포터와 아즈카반의 죄수 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 20,961",2023년 10월
2,11,해리포터와 비밀의 방 1,J.K. 롤링,문학수첩,"판매지수 18,984",2019년 11월
2,12,해리포터와 비밀의 방 2,J.K. 롤링,문학수첩,"판매지수 17,592",2019년 11월
2,13,재와 물거품,김청귤,안전가옥,"판매지수 18,282",2021년 05월
2,14,해리포터와 아즈카반의 죄수 1,J.K. 롤링,문학수첩,"판매지수 13,524",2019년 11월
2,15,해리 포터와 비밀의 방 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 16,212",2021년 10월
2,16,해리포터와 아즈카반의 죄수 2,J.K. 롤링,문학수첩,"판매지수 13,074",2019년 11월
2,17,전지적 독자 시점 PART 1 - 01,싱숑,비채,"판매지수 19,086",2022년 01월
2,18,전지적 독자 시점 PART 5 - 01,싱숑,비채,"판매지수 15,654",2023년 09월
2,19,해리포터와 불의 잔 1,J.K. 롤링,문학수첩,"판매지수 11,886",2019년 11월
2,20,전지적 독자 시점 PART 5 - 02,싱숑,비채,"판매지수 15,972",2023년 09월
2,21,전지적 독자 시점 PART 4 - 01,싱숑,비채,"판매지수 14,862",2023년 09월
2,22,전지적 독자 시점 PART 4 - 02,싱숑,비채,"판매지수 15,318",2023년 09월
2,23,전지적 독자 시점 PART 4 - 04,싱숑,비채,"판매지수 15,282",2023년 09월
2,24,전지적 독자 시점 PART 4 - 03,싱숑,비채,"판매지수 15,072",2023년 09월
2,25,해리포터와 불의 잔 2,J.K. 롤링,문학수첩,"판매지수 11,610",2019년 11월
2,26,요괴어사,설민석,단꿈아이,"판매지수 7,416",2023년 04월
2,27,비긴 어게인,헬리 액튼,모모,"판매지수 3,060",2024년 01월
2,28,전지적 독자 시점 PART 1 - 08,싱숑,비채,"판매지수 14,598",2022년 01월
2,29,전지적 독자 시점 PART 1 - 03,싱숑,비채,"판매지수 15,258",2022년 01월
2,30,전지적 독자 시점 PART 2 - 03,싱숑,비채,"판매지수 15,930",2023년 01월
2,31,전지적 독자 시점 PART 1 - 02,싱숑,비채,"판매지수 16,608",2022년 01월
2,32,전지적 독자 시점 PART 2 - 02,싱숑,비채,"판매지수 15,636",2023년 01월
2,33,전지적 독자 시점 PART 3 - 01,싱숑,비채,"판매지수 15,918",2023년 01월
2,34,전지적 독자 시점 PART 2 - 01,싱숑,비채,"판매지수 15,450",2023년 01월
2,35,해리포터와 불의 잔 3,J.K. 롤링,문학수첩,"판매지수 10,878",2019년 11월
2,36,전지적 독자 시점 PART 3 - 03,싱숑,비채,"판매지수 15,330",2023년 01월
2,37,해리포터 5~7부 세트,J.K. 롤링,문학수첩,"판매지수 12,174",2020년 02월
2,38,해리포터와 불의 잔 4,J.K. 롤링,문학수첩,"판매지수 10,806",2019년 11월
2,39,전지적 독자 시점 PART 4&5 : 굿즈키트 세트,싱숑,비채,"판매지수 7,998",2023년 09월
2,40,전지적 독자 시점 PART 3 - 02,싱숑,비채,"판매지수 15,720",2023년 01월
2,41,전지적 독자 시점 PART 1 - 07,싱숑,비채,"판매지수 13,770",2022년 01월
2,42,전지적 독자 시점 PART 1 - 04,싱숑,비채,"판매지수 14,358",2022년 01월
2,43,해리포터 1~4부 세트,J.K. 롤링,문학수첩,"판매지수 10,356",2019년 11월
2,44,전지적 독자 시점 PART 1 - 06,싱숑,비채,"판매지수 14,106",2022년 01월
2,45,전지적 독자 시점 PART 1 - 05,싱숑,비채,"판매지수 13,806",2022년 01월
2,46,달의 아이,최윤석,포레스트북스,"판매지수 9,198",2023년 09월
2,47,주인공의 구원자가 될 운명입니다 1~5 세트,은소로,연담,"판매지수 1,428",2024년 04월
2,48,해리 포터 마법 연감,J.K. 롤링,문학수첩,"판매지수 12,564",2023년 12월
2,49,해리 포터와 마법사의 돌 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 19,359",2020년 10월
2,50,작별의 건너편,시미즈 하루키,모모,"판매지수 8,370",2023년 05월
2,51,해리포터와 혼혈 왕자 1,J.K. 롤링,문학수첩,"판매지수 6,438",2020년 01월
2,52,해리포터와 불사조 기사단 1,J.K. 롤링,문학수첩,"판매지수 7,314",2019년 12월
2,53,해리포터와 혼혈 왕자 4,J.K. 롤링,문학수첩,"판매지수 5,922",2020년 01월
2,54,해리포터와 혼혈 왕자 2,J.K. 롤링,문학수첩,"판매지수 6,258",2020년 01월
2,55,해리포터와 불사조 기사단 2,J.K. 롤링,문학수첩,"판매지수 7,128",2019년 12월
2,56,해리포터와 혼혈 왕자 3,J.K. 롤링,문학수첩,"판매지수 6,138",2020년 01월
2,57,해리포터와 불사조 기사단 4,J.K. 롤링,문학수첩,"판매지수 6,564",2019년 12월
2,58,해리포터와 불사조 기사단 3,J.K. 롤링,문학수첩,"판매지수 6,600",2019년 12월
2,59,해리포터와 불사조 기사단 5,J.K. 롤링,문학수첩,"판매지수 6,540",2019년 12월
2,60,해리포터와 죽음의 성물 1,J.K. 롤링,문학수첩,"판매지수 5,532",2020년 02월
2,61,해리포터와 죽음의 성물 2,J.K. 롤링,문학수첩,"판매지수 5,232",2020년 02월
2,62,전지적 독자 시점 PART 2&3 : 굿즈키트 세트,싱숑,비채,"판매지수 4,698",2023년 01월
2,63,해리포터와 죽음의 성물 3,J.K. 롤링,문학수첩,"판매지수 5,136",2020년 02월
2,64,베렌과 루시엔,J. R. R. 톨킨,arte(아르테),"판매지수 2,190",2024년 01월
2,65,해리포터와 죽음의 성물 4,J.K. 롤링,문학수첩,"판매지수 4,860",2020년 02월
2,66,"고양이 식당, 행복을 요리합니다",다카하시 유타,빈페이지,"판매지수 8,709",2023년 05월
2,67,데뷔 못 하면 죽는 병 걸림 2부 초판 양장본 세트,백덕수,위시북스,"판매지수 4,104",2023년 12월
2,68,나 혼자만 레벨 업 8,추공,파피루스(디앤씨미디어),"판매지수 5,418",2019년 08월
2,69,룬의 아이들 - 블러디드 6,전민희,엘릭시르,"판매지수 5,100",2023년 09월
2,70,나 혼자만 레벨 업 7,추공,파피루스(디앤씨미디어),"판매지수 5,262",2019년 08월
2,71,나 혼자만 레벨 업 5,추공,파피루스(디앤씨미디어),"판매지수 5,190",2019년 08월
2,72,눈물을 마시는 새 세트,이영도,황금가지,"판매지수 8,166",2003년 02월
2,73,나 혼자만 레벨 업 1,추공,파피루스(디앤씨미디어),"판매지수 5,844",2019년 08월
2,74,나 혼자만 레벨 업 6,추공,파피루스(디앤씨미디어),"판매지수 5,268",2019년 08월
2,75,나 혼자만 레벨 업 4,추공,파피루스(디앤씨미디어),"판매지수 5,106",2019년 08월
2,76,나 혼자만 레벨 업 2,추공,파피루스(디앤씨미디어),"판매지수 5,136",2019년 08월
2,77,나 혼자만 레벨 업 3,추공,파피루스(디앤씨미디어),"판매지수 5,238",2019년 08월
2,78,작별의 건너편 2,시미즈 하루키,모모,"판매지수 4,236",2023년 10월
2,79,해리포터와 마법사의 돌 (일러스트 에디션),J.K. 롤링,문학수첩,"판매지수 5,274",2019년 11월
2,80,나니아 연대기,C. S. 루이스,시공주니어,"판매지수 8,424",2005년 11월
2,81,그림자 마법사들,정채연,문학수첩,"판매지수 1,686",2024년 02월
2,82,오버로드 16 (일러스트 카드집 부속 특별판),마루야마 쿠가네,영상출판미디어,"판매지수 1,416",2023년 03월
2,83,해리포터와 비밀의 방,J.K. 롤링,문학수첩,"판매지수 3,258",2019년 11월
2,84,해리포터와 아즈카반의 죄수,J.K. 롤링,문학수첩,"판매지수 3,234",2019년 11월
2,85,환상서점,소서림,해피북스투유,"판매지수 4,584",2023년 02월
2,86,얼음나무 숲,하지은,황금가지,"판매지수 5,310",2020년 03월
2,87,"고양이 식당, 추억을 요리합니다",다카하시 유타,빈페이지,"판매지수 12,009",2023년 05월
2,88,노래하는 새와 뱀의 발라드,수잔 콜린스,북폴리오,"판매지수 2,544",2020년 09월
2,89,해리포터와 불의 잔 2,J.K. 롤링,문학수첩,"판매지수 4,122",2019년 11월
2,90,오버로드 15,마루야마 쿠가네,영상출판미디어,"판매지수 2,454",2022년 09월
2,91,해리포터와 죽음의 성물 1,J.K. 롤링,문학수첩,"판매지수 3,990",2020년 02월
2,92,데뷔 못 하면 죽는 병 걸림 2부 4,백덕수,위시북스,"판매지수 4,470",2023년 12월
2,93,데뷔 못 하면 죽는 병 걸림 2부 초판 한정 굿즈박스 세트,백덕수,위시북스,"판매지수 3,708",2023년 12월
2,94,해리포터와 마법사의 돌,J.K. 롤링,문학수첩,"판매지수 3,660",2019년 11월
2,95,"보이지 않는 도시, 퍼머루트 1부 : 공중에 떠 있는 집 1",E. S. 호버트,팩토리나인,"판매지수 1,140",2023년 11월
2,96,해리포터와 혼혈 왕자 1,J.K. 롤링,문학수첩,"판매지수 3,036",2020년 01월
2,97,해리포터와 불의 잔 1,J.K. 롤링,문학수첩,"판매지수 3,588",2019년 11월
2,98,드래곤 라자 양장 세트,이영도,황금가지,"판매지수 4,044",2008년 11월
2,99,데뷔 못 하면 죽는 병 걸림 2부 6,백덕수,위시북스,"판매지수 4,152",2023년 12월
2,100,데뷔 못 하면 죽는 병 걸림 2부 5,백덕수,위시북스,"판매지수 4,188",2023년 12월
3,1,세상의 마지막 기차역,무라세 다케시,모모,"판매지수 131,535",2022년 05월
3,2,메리골드 마음 사진관,윤정은,북로망스,"판매지수 58,368",2024년 01월
3,3,수상한 한의원,배명은,텍스티(TXTY),"판매지수 34,788",2024년 01월
3,4,달러구트 꿈 백화점,이미예,팩토리나인,"판매지수 57,615",2020년 07월
3,5,해리포터와 마법사의 돌 1,J.K. 롤링,문학수첩,"판매지수 35,604",2019년 11월
3,6,해리포터와 마법사의 돌 2,J.K. 롤링,문학수첩,"판매지수 29,832",2019년 11월
3,7,달러구트 꿈 백화점 2,이미예,팩토리나인,"판매지수 40,062",2021년 07월
3,8,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,294",2020년 04월
3,9,재와 물거품,김청귤,안전가옥,"판매지수 18,282",2021년 05월
3,10,해리포터와 비밀의 방 1,J.K. 롤링,문학수첩,"판매지수 18,984",2019년 11월
3,11,해리포터와 비밀의 방 2,J.K. 롤링,문학수첩,"판매지수 17,592",2019년 11월
3,12,직장 상사 악령 퇴치부,이사구,황금가지,"판매지수 8,970",2024년 02월
3,13,"고양이 식당, 추억을 요리합니다",다카하시 유타,빈페이지,"판매지수 12,009",2023년 05월
3,14,해리 포터와 마법사의 돌 : 미나리마 에디션,J.K. 롤링,문학수첩,"판매지수 19,359",2020년 10월
3,15,요괴어사 2,설민석,단꿈아이,"판매지수 13,698",2023년 12월
3,16,해리포터와 아즈카반의 죄수 1,J.K. 롤링,문학수첩,"판매지수 13,524",2019년 11월
3,17,전지적 독자 시점 PART 1 - 01,싱숑,비채,"판매지수 19,086",2022년 01월
3,18,전지적 독자 시점 PART 5 - 02,싱숑,비채,"판매지수 15,972",2023년 09월
3,19,전지적 독자 시점 PART 4 - 04,싱숑,비채,"판매지수 15,282",2023년 09월
3,20,해리포터 1~4부 세트,J.K. 롤링,문학수첩,"판매지수 10,356",2019년 11월
