월,순위,제목,저자,출판사,판매지수,출판 년월
6,97,라라제빵소,윤자영,북오션,"판매지수 1,599",2024년 04월
6,98,갈까마귀 살인사건,다니엘 콜,북플라자,"판매지수 3,750",2023년 12월
6,99,비밀,히가시노 게이고,소미미디어,"판매지수 2,160",2021년 07월
6,100,숙명,히가시노 게이고,소미미디어,"판매지수 2,244",2020년 05월
7,1,당신이 누군가를 죽였다,히가시노 게이고,북다,"판매지수 139,488",2024년 07월
7,2,아이가 없는 집,알렉스 안도릴,필름,"판매지수 43,044",2024년 06월
7,3,적산가옥의 유령,조예은,현대문학,"판매지수 12,330",2024년 06월
7,4,용의자 X의 헌신,히가시노 게이고,재인,"판매지수 48,414",2017년 08월
7,5,"칵테일, 러브, 좀비",조예은,안전가옥,"판매지수 48,930",2020년 04월
7,6,돌이킬 수 있는,문목하,아작,"판매지수 21,552",2018년 12월
7,7,라플라스의 마녀,히가시노 게이고,현대문학,"판매지수 18,531",2016년 01월
7,8,십계,유키 하루오,블루홀6,"판매지수 6,036",2024년 07월
7,9,히든 픽처스,제이슨 르쿨락,문학수첩,"판매지수 25,368",2024년 05월
7,10,오렌지와 빵칼,청예,허블,"판매지수 10,533",2024년 07월
7,11,마력의 태동,히가시노 게이고,현대문학,"판매지수 9,126",2019년 01월
7,12,악의,히가시노 게이고,현대문학,"판매지수 30,816",2019년 07월
7,13,활자잔혹극,루스 렌들,북스피어,"판매지수 7,092",2024년 06월
7,14,13.67,찬호께이,한스미디어,"판매지수 12,468",2023년 01월
7,15,그리고 아무도 없었다,애거사 크리스티,황금가지,"판매지수 24,378",2013년 12월
7,16,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,"판매지수 29,916",2023년 07월
7,17,걷는 망자,미쓰다 신조,리드비(READbie),"판매지수 5,136",2024년 07월
7,18,용의자들,정해연,위즈덤하우스,"판매지수 8,340",2024년 05월
7,19,방주,유키 하루오,블루홀6,"판매지수 11,517",2023년 02월
7,20,코너스톤 셜록 홈즈 전집,아서 코난 도일,코너스톤(도서),"판매지수 17,406",2016년 01월
7,21,가면산장 살인사건,히가시노 게이고,재인,"판매지수 16,269",2014년 09월
7,22,블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아(RHK),"판매지수 24,054",2024년 03월
7,23,[예스리커버] 셜록 홈즈 전집 세트,아서 코난 도일,문예춘추사,"판매지수 5,484",2022년 05월
7,24,트로피컬 나이트,조예은,한겨레출판,"판매지수 20,289",2022년 08월
7,25,추리소설가의 살인사건,히가시노 게이고,소미미디어,"판매지수 4,752",2024년 07월
7,26,눈에 갇힌 외딴 산장에서,히가시노 게이고,재인,"판매지수 19,443",2023년 07월
7,27,[예스리커버] 트로피컬 나이트,조예은,한겨레출판,"판매지수 10,269",2023년 08월
7,28,어두운 물,전건우,&(앤드),"판매지수 2,718",2024년 06월
7,29,금단의 마술,히가시노 게이고,재인,"판매지수 22,164",2024년 02월
7,30,오리엔트 특급 살인,애거사 크리스티,황금가지,"판매지수 12,972",2013년 12월
7,31,직장 상사 악령 퇴치부,이사구,황금가지,"판매지수 9,078",2024년 02월
7,32,제노사이드,다카노 가즈아키,황금가지,"판매지수 10,833",2012년 06월
7,33,카지노,김진명,새움,"판매지수 20,130",2022년 12월
7,34,달콤한 살인 계획,김서진,나무옆의자,"판매지수 1,752",2024년 06월
7,35,백설공주에게 죽음을 (특별판),넬레 노이하우스,북로드,"판매지수 39,837",2024년 05월
7,36,그리고 아무도 없었다,애거사 크리스티,해문출판사,"판매지수 8,622",2002년 05월
7,37,우중괴담,미쓰다 신조,북로드,"판매지수 4,638",2022년 11월
7,38,이상한 집,우케쓰,리드비(READbie),"판매지수 5,514",2022년 10월
7,39,봄철 한정 딸기 타르트 사건,요네자와 호노부,엘릭시르,"판매지수 3,720",2016년 04월
7,40,이웃집 소시오패스의 사정,조예은,&(앤드),"판매지수 4,410",2024년 04월
7,41,장미의 이름 세트,움베르토 에코,열린책들,"판매지수 7,062",2006년 04월
7,42,"아서 코난 도일, 선상 미스터리 단편 컬렉션",아서 코난 도일,센텐스,"판매지수 3,036",2024년 08월
7,43,살인자 외,어네스트 밀러 헤밍웨이,코너스톤(도서),"판매지수 6,582",2017년 06월
7,44,곰탕 1,김영탁,arte(아르테),"판매지수 8,796",2018년 03월
7,45,2인조,정해연,엘릭시르,"판매지수 3,912",2024년 07월
7,46,돌이킬 수 없는 약속,야쿠마루 가쿠,북플라자,"판매지수 6,186",2022년 12월
7,47,애크로이드 살인 사건,애거사 크리스티,황금가지,"판매지수 4,800",2013년 12월
7,48,곰탕 2,김영탁,arte(아르테),"판매지수 6,690",2018년 03월
7,49,퇴마록 국내편 1,이우혁,엘릭시르,"판매지수 3,750",2011년 09월
7,50,망내인,찬호께이,한스미디어,"판매지수 3,828",2023년 06월
7,51,얼음나무 숲,하지은,황금가지,"판매지수 5,340",2020년 03월
7,52,매스커레이드 게임,히가시노 게이고,현대문학,"판매지수 5,460",2023년 06월
7,53,잘린 머리처럼 불길한 것,미쓰다 신조,비채,"판매지수 2,826",2010년 08월
7,54,졸업,히가시노 게이고,현대문학,"판매지수 3,996",2019년 07월
7,55,I의 비극,요네자와 호노부,내친구의서재,"판매지수 4,032",2024년 04월
7,56,테디베어는 죽지 않아,조예은,안전가옥,"판매지수 6,048",2023년 06월
7,57,파리 마카롱 수수께끼,요네자와 호노부,엘릭시르,"판매지수 2,820",2021년 10월
7,58,하쿠바산장 살인사건,히가시노 게이고,알에이치코리아(RHK),"판매지수 5,868",2020년 04월
7,59,블랙 쇼맨과 환상의 여자,히가시노 게이고,알에이치코리아(RHK),"판매지수 5,892",2023년 04월
7,60,둘 중 누군가 그녀를 죽였다,히가시노 게이고,현대문학,"판매지수 2,772",2019년 07월
7,61,백광,렌죠 미키히코,모모,"판매지수 13,392",2022년 02월
7,62,편지,히가시노 게이고,알에이치코리아(RHK),"판매지수 4,242",2019년 04월
