월,순위,제목,저자,출판사,판매지수,출판 년월
12,69,미래과거시제,배명훈,북하우스,"판매지수 1,824",2023년 03월
12,70,"그날, 그곳에서",이경희,안전가옥,"판매지수 2,028",2021년 01월
12,71,화성 연대기,레이 브래드버리,현대문학,판매지수 972,2020년 08월
12,72,라마와의 랑데부,아서 C. 클라크,아작,"판매지수 1,944",2017년 03월
12,73,죄의 끝,히가시야마 아키라,해피북스투유,"판매지수 1,404",2024년 11월
12,74,스코치 트라이얼,제임스 대시너,문학수첩,"판매지수 2,541",2012년 07월
12,75,은하수를 여행하는 히치하이커를 위한 안내서 3,더글러스 애덤스,책세상,"판매지수 2,070",2004년 12월
12,76,종소리,닐 셔스터먼,열린책들,"판매지수 2,334",2023년 02월
12,77,얼마나 닮았는가,김보영,아작,"판매지수 1,974",2020년 10월
12,78,파운데이션,아이작 아시모프,황금가지,"판매지수 1,698",2013년 10월
12,79,은하수를 여행하는 히치하이커를 위한 안내서 5,더글러스 애덤스,책세상,"판매지수 1,536",2005년 01월
12,80,라스트 젤리 샷,청예,허블,"판매지수 2,757",2023년 08월
12,81,노 휴먼스 랜드,김정,창비,"판매지수 3,462",2023년 07월
12,82,팬데믹,김초엽,문학과지성사,판매지수 936,2020년 09월
12,83,"땡스 갓, 잇츠 프라이데이",심너울,안전가옥,"판매지수 1,782",2020년 01월
12,84,멋진 신세계,올더스 헉슬리,소담출판사,"판매지수 1,482",2019년 09월
12,85,고양이 1,베르나르 베르베르,열린책들,"판매지수 2,352",2018년 05월
12,86,은하수를 여행하는 히치하이커를 위한 안내서 6,오언 콜퍼,책세상,"판매지수 1,404",2010년 01월
12,87,뉴로맨서,윌리엄 깁슨,황금가지,"판매지수 2,178",2005년 05월
12,88,은하수를 여행하는 히치하이커를 위한 안내서 4,더글러스 애덤스,책세상,"판매지수 1,668",2005년 01월
12,89,30일의 밤,블레이크 크라우치,푸른숲,"판매지수 1,374",2022년 09월
12,90,지구에서 달까지,쥘 베른,열림원,"판매지수 1,140",2022년 06월
12,91,문명 1,베르나르 베르베르,열린책들,"판매지수 1,836",2021년 05월
12,92,듄 신장판 5,프랭크 허버트,황금가지,"판매지수 1,602",2021년 01월
12,93,신세계에서 2,기시 유스케,해냄,"판매지수 1,272",2020년 11월
12,94,신세계에서 1,기시 유스케,해냄,"판매지수 1,284",2020년 11월
12,95,저 이승의 선지자,김보영,아작,판매지수 750,2017년 06월
12,96,2001 스페이스 오디세이,아서 C. 클라크,황금가지,"판매지수 1,164",2017년 02월
12,97,은하영웅전설 완전판 스페셜 박스 세트,다나카 요시키,디앤씨미디어(D&C미디어),"판매지수 1,164",2011년 10월
12,98,달은 무자비한 밤의 여왕,로버트 A. 하인라인,황금가지,"판매지수 1,008",2009년 04월
12,99,소심한 사람들만 남았다,김이환,북다,"판매지수 1,566",2023년 06월
12,100,모르페우스의 문,소향,고즈넉이엔티,판매지수 666,2024년 11월
