Month,Title,Author,Publisher,Publish_Date,Category
3,모순,양귀자,쓰다,2013.04.01,일반
3,이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27,일반
3,메리골드 마음 사진관,윤정은,북로망스,2024.01.12,fantasy
3,삼체 1~3 세트,류츠신,자음과모음,2024.06.07,sf
3,맡겨진 소녀,클레어 키건,다산책방,2023.04.21,일반
3,블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아,2024.03.02,mystery
3,디 에센셜: 프란츠 카프카(교보문고 특별판),프란츠 카프카,민음사,2024.03.15,일반
3,듄 1-6 세트,프랭크 허버트,황금가지,2021.01.22,일반
3,불편한 편의점(벚꽃 에디션),김호연,나무옆의자,2021.04.20,일반
3,듄 1(DUNE),프랭크 허버트,황금가지,2021.01.21,일반
3,구의 증명,최진영,은행나무,2023.04.26,일반
3,아주 희미한 빛으로도,최은영,문학동네,2023.08.07,일반
3,인간 실격,다자이 오사무,민음사,2012.04.10,일반
3,오로라,최진영,위즈덤하우스,2024.02.21,일반
3,데미안,헤르만 헤세,민음사,2009.01.20,일반
3,가여운 것들,앨러스데어 그레이,황금가지,2023.04.21,일반
3,메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),윤정은,북로망스,2023.03.06,일반
3,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
3,도시와 그 불확실한 벽,무라카미 하루키,문학동네,2023.09.06,일반
3,작별하지 않는다,한강,문학동네,2021.09.09,일반
3,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,2018.06.20,일반
3,삼체 1: 삼체문제,류츠신,자음과모음,2022.02.15,일반
3,리틀 라이프 1,한야 야나기하라,시공사,2016.06.16,일반
3,다 하지 못한 말,임경선,토스트,2024.03.20,일반
3,파과,구병모,위즈덤하우스,2018.04.16,일반
3,귀신들의 땅,천쓰홍,민음사,2023.12.29,일반
3,홍학의 자리,정해연,엘릭시르,2021.07.26,일반
3,불편한 편의점 2(단풍 에디션),김호연,나무옆의자,2022.08.10,일반
3,마지막 마음이 들리는 공중전화,이수연,클레이하우스,2024.01.15,일반
3,멋진 신세계,올더스 헉슬리,소담출판사,2015.06.12,일반
3,싯다르타,헤르만 헤세,민음사,2002.01.20,일반
3,밝은 밤,최은영,문학동네,2021.07.27,일반
3,트러스트,에르난 디아스,문학동네,2023.02.24,일반
3,원도,최진영,한겨레출판사,2024.03.30,일반
3,동물농장,조지 오웰,민음사,2009.01.07,일반
3,노르웨이의 숲,무라카미 하루키,민음사,2017.08.07,일반
3,매니악,벵하민 라바투트,문학동네,2024.01.26,일반
3,프로젝트 헤일메리,앤디 위어,알에이치코리아,2021.05.04,sf
3,이방인,알베르 카뮈,민음사,2019.09.02,일반
3,아버지의 해방일지,정지아,창비,2022.09.02,일반
3,채식주의자,한강,창비,2022.03.28,일반
