Month,Title,Author,Publisher,Publish_Date
2,오케팅 양장(업그레이드 특별판 리커버 에디션),오두환,대한출판사,2024.02.01
2,나는 메트로폴리탄 미술관의 경비원입니다(20만 부 기념 양장 에디션),패트릭 브링리,웅진지식하우스,2023.11.24
2,마흔에 읽는 쇼펜하우어,강용수,유노북스,2023.09.07
2,박근혜 회고록 1: 어둠을 지나 미래로,박근혜,중앙북스,2024.02.05
2,아이는 무엇으로 자라는가,버지니아 사티어,포레스트북스,2023.12.18
2,박근혜 회고록 2: 어둠을 지나 미래로,박근혜,중앙북스,2024.02.05
2,ETS 토익 정기시험 기출문제집 1000 Vol 4 RC(리딩),ETS,YBM,2023.12.18
2,예약판매세이노의 가르침(올블랙 유광 에디션),세이노(SayNo),데이원,2023.03.02
2,ETS 토익 정기시험 기출문제집 1000 Vol 4 LC(리스닝),ETS,YBM,2023.12.18
2,나는 행복한 푸바오 할부지입니다,강철원,시공사,2024.02.25
2,똑똑한 사람은 어떻게 생각하고 질문하는가,이시한,북플레저,2024.01.24
2,이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27
2,퓨처 셀프,벤저민 하디,상상스퀘어,2023.08.30
2,퍼스널 MBA(10주년 기념 증보판),조시 카우프만,진성북스,2024.01.25
2,영어필사 100일의 기적,퍼포먼스 코치 리아,넥서스,2023.04.25
2,모순,양귀자,쓰다,2013.04.01
2,메리골드 마음 사진관,윤정은,북로망스,2024.01.12
2,남에게 보여주려고 인생을 낭비하지 마라,쇼펜하우어,페이지2북스,2023.10.30
2,해커스 토익 기출 VOCA(보카),David Cho,해커스어학연구소,2024.08.19
2,남의 시선에 아랑곳하지 않기,차이웨이,미디어숲,2024.03.10
2,당신은 결국 무엇이든 해내는 사람(특별 리커버 에디션),김상현,필름(Feelm),2022.04.20
2,도둑맞은 집중력,요한 하리,어크로스,2023.04.28
2,사람들이 죽기 전에 후회하는 33가지,진세란,산솔미디어,2024.01.24
2,처음부터 시작하는 주식투자 단타전략,홍인기,길벗,2023.12.22
2,보편의 단어,이기주,말글터,2024.01.11
2,데일 카네기 인간관계론(50만부 돌파 초판 무삭제 완역본),데일 카네기,현대지성,2019.10.07
2,역행자(확장판),자청,웅진지식하우스,2023.05.29
2,해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,2023.07.24
2,돈의 속성(300쇄 리커버에디션),김승호,스노우폭스북스,2020.06.15
2,생각이 너무 많은 어른들을 위한 심리학(20만 부 기념 리커버 에디션),김혜남,메이븐,2023.09.25
2,해커스 토익 LC Listening(리스닝) 기본서,David Cho,해커스어학연구소,2023.07.24
2,The Winning [미니 6집] [Special Ver],IU(아이유),KAKAO ENTERTAINMENT,2024.02.22
2,항복론: 성공을 위한 내려놓기,다카모리 유키,힘찬북스,2024.02.15
2,쇼펜하우어 아포리즘: 당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까,아르투어 쇼펜하우어,포레스트북스,2023.06.21
2,EBS 왕초보영어(상)(2024),EBS,한국교육방송공사(EBSi),2024.02.05
2,토익 단기공략 750+(LC+RC),ETS,YBM,2020.08.20
2,사랑을 무게로 안 느끼게,박완서,세계사,2024.01.22
2,결국 해내는 사람들의 원칙,앨런 피즈 외,반니,2020.12.14
2,주술회전 25: 인외마경 신주쿠 결전,Gege Akutami,서울미디어코믹스(서울문화사),2024.02.20
2,사랑인 줄 알았는데 부정맥,전국유로실버타운협회,포레스트북스,2024.01.17
2,비트코인 슈퍼 사이클,신민철(처리형),거인의정원,2024.01.25
2,원씽(The One Thing)(60만 부 기념 스페셜 에디션),게리 켈러 외,비즈니스북스,2013.08.30
2,맡겨진 소녀,클레어 키건,다산책방,2023.04.21
2,발상의 회로,나카가와 료,지니의서재,2024.02.28
2,내가 한 말을 내가 오해하지 않기로 함,문상훈,위너스북,2024.01.05
2,파타,문가영,위즈덤하우스,2024.03.06
2,"2024 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,2024.01.17
2,유목민의 투자의 정석,유목민,리더스북,2024.01.17
2,웡카,시빌 파운더,시공주니어,2024.01.05
2,사는 동안 한 번은 팔아봐라,서과장,마인드셋,2024.01.10
2,느리게 나이 드는 습관,정희원,한빛라이프,2023.12.11
2,벌써 마흔이 된 딸에게,한성희,메이븐,2024.01.24
2,트렌드 코리아 2024,김난도 외,미래의창,2023.10.12
2,해커스 토익 실전 1000제 1 RC Reading(리딩) 문제집,해커스 어학연구소,해커스어학연구소,2023.11.06
2,흔한남매의 흔한 호기심 11,흔한남매,미래엔아이세움,2024.02.16
2,당신의 분노에는 이유가 있다,충페이충,더페이지,2024.03.10
2,세상은 이야기로 만들어졌다,자미라 엘 우아실 외,원더박스,2023.10.16
2,오십에 읽는 주역,강기진,유노북스,2023.10.31
2,우리가 작별 인사를 할 때마다,마거릿 렌클,을유문화사,2023.12.25
2,슈뻘맨의 숨은 과학 찾기 3,슈뻘맨,미래엔아이세움,2024.02.06
2,금단의 마술,히가시노 게이고,재인,2023.10.27
2,해커스 토익 실전 1000제 1 LC Listening(리스닝) 문제집,해커스 어학연구소,해커스어학연구소,2024.06.13
2,결국 원하는 대로 이루어질 거야,최서영,북로망스,2024.02.22
2,아홉 살에 시작하는 똑똑한 초등신문,신효원,책장속북스,2023.05.05
2,하와이 대저택 100일 미라클,하와이 대저택,메가스터디북스,2024.01.25
2,아주 희미한 빛으로도,최은영,문학동네,2023.08.07
2,SQL 자격검정 실전문제,한국데이터산업진흥원,한국데이터산업진흥원,2023.12.29
2,무례한 친구가 생겼어요,크리스티나 퍼니발,리틀포레스트,2024.02.21
2,부자 아빠 가난한 아빠 1(20주년 특별 기념판),로버트 기요사키,민음인,2022.10.28
2,나는 배당투자로 매일 스타벅스 커피를 공짜로 마신다,송민섭(수페TV),21세기북스,2023.12.06
2,"뇌, 욕망의 비밀을 풀다",한스 게오르크 호이젤,비즈니스북스,2019.10.04
2,레버리지,롭 무어,다산북스,2023.02.15
2,"푸바오, 언제나 사랑해",에버랜드 동물원,시공주니어,2024.01.15
2,자본주의,EBS 자본주의 제작팀,가나출판사,2013.09.27
2,아주 작은 습관의 힘,제임스 클리어,비즈니스북스,2019.02.26
2,최소한의 한국사,최태성,프런트페이지,2023.06.21
2,내 삶을 지키는 바운더리,쑤쉬안후이,시옷책방,2024.03.10
2,"죽음이 물었다, 어떻게 살 거냐고",한스 할터,포레스트북스,2023.12.25
2,AI 2024 트렌드&활용백과,김덕진,스마트북스,2023.10.25
2,시대예보: 핵개인의 시대,송길영,교보문고,2023.09.25
2,노벨문학상 후보를 향해,나병호,아마존북스,2024.02.08
2,컨셉 수업,호소다 다카히로,알에이치코리아,2024.01.24
2,ETS 토익기출 파트별 VOCA,ETS,YBM,2022.12.23
2,읽으면서 바로 써먹는 어린이 세계 여행,한날,파란정원,2024.01.05
2,부의 추월차선(10주년 스페셜 에디션),엠제이 드마코,토트,2022.02.04
2,2024 SD에듀 투자자산운용사 실제유형 모의고사 특별부록 PASSCODE Premium ver 5.0,유창호,시대고시기획,2024.02.05
2,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(상)",최태성,이투스북,2023.12.01
2,당신이 생각하는 모든 것을 믿지 말라,조세프 응우옌,서삼독,2023.11.22
2,타이탄의 도구들(블랙 에디션),팀 페리스,토네이도,2022.06.20
2,모든 것은 기본에서 시작한다(교보문고 단독 양장본),손웅정,수오서재,2021.10.15
2,봄의 폭풍과 몬스터 3,MITSUBACHI MIYUKI,학산문화사,2024.02.25
2,"하룻밤, 300억을 포기한 남자",최민형,마인드셋,2024.02.10
2,흔한남매 15,흔한남매,미래엔아이세움,2023.12.14
2,하버드 100년 전통 감성 수업,쉬셴장,리드리드출판,2024.02.21
2,도시와 그 불확실한 벽,무라카미 하루키,문학동네,2023.09.06
2,메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),윤정은,북로망스,2023.03.06
2,인생은 순간이다,김성근,다산북스,2023.11.15
