Month,Title,Author,Publisher,Publish_Date,Category
10,소년이 온다,한강,창비,2014.05.19,일반
10,채식주의자,한강,창비,2022.03.28,일반
10,작별하지 않는다,한강,문학동네,2021.09.09,일반
10,흰,한강,문학동네,2018.04.25,일반
10,희랍어 시간,한강,문학동네,2011.11.10,일반
10,디 에센셜: 한강(무선 보급판),한강,문학동네,2023.06.01,일반
10,여수의 사랑,한강,문학과지성사,2018.11.09,일반
10,빛이 이끄는 곳으로,백희성,북로망스,2024.08.21,일반
10,모순,양귀자,쓰다,2013.04.01,일반
10,검은 사슴,한강,문학동네,2017.12.20,일반
10,작은 땅의 야수들(리커버 무선판),김주혜,다산책방,2023.06.19,일반
10,내 여자의 열매,한강,문학과지성사,2018.11.09,일반
10,그대의 차가운 손,한강,문학과지성사,2002.01.18,일반
10,바람이 분다 가라,한강,문학과지성사,2010.02.26,일반
10,노랑무늬영원,한강,문학과지성사,2018.11.09,일반
10,한강: 회복하는 인간(Convalescence),한강,아시아,2013.06.15,일반
10,대도시의 사랑법,박상영,창비,2019.06.28,일반
10,이중 하나는 거짓말,김애란,문학동네,2024.08.27,일반
10,눈물상자,한강,문학동네,2008.05.22,일반
10,영원한 천국,정유정,은행나무,2024.08.28,history
10,급류,정대건,민음사,2022.12.22,일반
10,내 이름은 태양꽃,한강,문학동네,2002.03.11,일반
10,당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23,mystery
10,면도날,서머싯 몸,민음사,2009.06.30,일반
10,파친코 1,이민진,인플루엔셜,2022.08.05,일반
10,나는 소망한다 내게 금지된 것을,양귀자,쓰다,2019.04.20,일반
10,파친코 2,이민진,인플루엔셜,2022.08.25,일반
10,대온실 수리 보고서,김금희,창비,2024.10.04,일반
10,소년이 온다 2(큰글자도서),한강,창비,2017.02.20,일반
10,데미안,헤르만 헤세,민음사,2009.01.20,일반
10,구의 증명,최진영,은행나무,2023.04.26,일반
10,소년이 온다 1(큰글자도서),한강,창비,2017.02.20,일반
10,홍학의 자리,정해연,엘릭시르,2021.07.26,일반
10,사랑 후에 오는 것들 세트,공지영 외,소담출판사,2024.08.15,romance
10,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,일반
10,파과,구병모,위즈덤하우스,2018.04.16,일반
10,싯다르타,헤르만 헤세,민음사,2002.01.20,일반
10,인간 실격,다자이 오사무,민음사,2012.04.10,일반
10,모우어,천선란,문학동네,2024.11.15,일반
10,브람스를 좋아하세요,프랑수아즈 사강,민음사,2008.05.02,일반
10,밝은 밤,최은영,문학동네,2021.07.27,일반
10,리틀 라이프 1,한야 야나기하라,시공사,2016.06.16,일반
10,이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27,일반
10,이방인,알베르 카뮈,민음사,2019.09.02,일반
10,불편한 편의점(벚꽃 에디션),김호연,나무옆의자,2021.04.20,일반
10,1984,조지 오웰,민음사,2007.03.30,일반
10,몬스터 1,넬레 노이하우스,북로드,2024.10.11,일반
10,노르웨이의 숲,무라카미 하루키,민음사,2017.08.07,일반
10,어린 왕자(오리지널 초판본)(무선),앙투안 드 생텍쥐페리,코너스톤,2020.09.22,일반
10,흐르는 강물처럼,셸리 리드,다산책방,2024.01.08,일반
10,천 개의 파랑,천선란,허블,2020.08.19,sf
10,디 에센셜: 프리드리히 니체(The Essential Friedrich Nietzche),프리드리히 니체,열린책들,2024.10.30,일반
10,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,2018.06.20,일반
10,"낭만 수의사, 희망을 처방합니다",린리신,모모,2024.09.26,일반
10,푸른 들판을 걷다,클레어 키건,다산책방,2024.08.16,일반
10,종의 기원,정유정,은행나무,2016.05.16,sf
10,지구 끝의 온실,김초엽,자이언트북스,2021.08.18,sf
10,달과 6펜스,서머싯 몸,민음사,2000.06.20,일반
10,바깥은 여름,김애란,문학동네,2017.06.28,일반
10,철도원 삼대,황석영,창비,2020.06.05,일반
10,몬스터 2,넬레 노이하우스,북로드,2024.10.11,일반
10,사랑 후에 오는 것들,공지영,소담출판사,2024.08.15,romance
10,몽고반점 (제29회 이상문학상 수상작품집 2005년도),한강,문학사상사,2005.01.25,일반
10,데미안: 오리지널 초판본 표지디자인,이미영,코너스톤,2016.07.22,일반
10,리틀 라이프 2,한야 야나기하라,시공사,2016.06.16,일반
10,아주 희미한 빛으로도,최은영,문학동네,2023.08.07,일반
10,두 사람의 인터내셔널,김기태,문학동네,2024.05.15,일반
10,불편한 편의점 2(단풍 에디션),김호연,나무옆의자,2022.08.10,일반
10,고래,천명관,문학동네,2014.04.16,일반
10,맡겨진 소녀,클레어 키건,다산책방,2023.04.21,일반
10,음악소설집,김애란 외,프란츠,2024.07.01,일반
10,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
10,사랑 후에 오는 것들,츠지 히토나리,소담출판사,2024.08.15,romance
10,이반 일리치의 죽음,레프 톨스토이,민음사,2023.12.08,일반
10,악의,히가시노 게이고,현대문학,2019.07.25,mystery
10,아가미,구병모,위즈덤하우스,2018.03.30,일반
10,동물농장,조지 오웰,민음사,2009.01.07,일반
10,노인과 바다,어니스트 헤밍웨이,민음사,2012.01.02,일반
10,프로젝트 헤일메리(리커버:K),앤디 위어,알에이치코리아,2024.06.30,일반
10,도시와 그 불확실한 벽,무라카미 하루키,문학동네,2023.09.06,일반
10,왜 나는 너를 사랑하는가(70만 부 기념 리커버),알랭 드 보통,청미래,2022.11.10,일반
10,용의자 X의 헌신,히가시노 게이고,재인,2017.08.30,mystery
10,백설공주에게 죽음을,넬레 노이하우스,북로드,2024.05.24,horror
10,저주토끼,정보라,래빗홀,2023.04.13,sf
10,회색 인간,김동식,요다,2017.12.27,일반
10,우리에게 남은 시간 46일,이설,하이스트,2024.01.29,일반
10,멋진 신세계,올더스 헉슬리,소담출판사,2015.06.12,sf
10,완전한 행복,정유정,은행나무,2021.06.08,일반
10,시티 뷰,우신영,다산책방,2024.09.20,일반
10,빛과 멜로디,조해진,문학동네,2024.08.30,일반
10,원더풀 랜드,더글라스 케네디,밝은세상,2024.10.15,일반
10,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,2023.01.25,일반
10,돌이킬 수 있는,문목하,아작,2018.12.05,sf
10,아버지의 해방일지,정지아,창비,2022.09.02,일반
10,엘리펀트 헤드,시라이 도모유키,내친구의서재,2024.10.18,mystery
10,우연은 비켜 가지 않는다,줄리언 반스,다산책방,2024.09.02,일반
10,설국,가와바타 야스나리,민음사,2009.01.20,일반
10,2024 제15회 젊은작가상 수상작품집,김멜라 외,문학동네,2024.03.31,일반
10,스토너,존 윌리엄스,알에이치코리아,2015.01.02,일반
10,소설 보다: 가을 2024,권희진 외,문학과지성사,2024.09.09,일반
