Month,Title,Author,Publisher,Publish_Date,Category
6,리틀 라이프 1,한야 야나기하라,시공사,2016.06.16,일반
6,리틀 라이프 2,한야 야나기하라,시공사,2016.06.16,일반
6,모순,양귀자,쓰다,2013.04.01,일반
6,나의 돈키호테,김호연,나무옆의자,2024.04.25,일반
6,흐르는 강물처럼,셸리 리드,다산책방,2024.01.08,일반
6,두 사람의 인터내셔널,김기태,문학동네,2024.05.15,일반
6,아이가 없는 집,알렉스 안도릴,필름(Feelm),2024.06.12,mystery
6,녹나무의 여신,히가시노 게이고,소미미디어,2024.05.23,일반
6,싯다르타,헤르만 헤세,민음사,2002.01.20,일반
6,룬의 아이들 블러디드 7,전민희,엘릭시르,2024.05.30,fantasy
6,이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27,일반
6,퀸의 대각선 1,베르나르 베르베르,열린책들,2024.06.25,일반
6,불편한 편의점(벚꽃 에디션),김호연,나무옆의자,2021.04.20,일반
6,퀸의 대각선 2,베르나르 베르베르,열린책들,2024.06.25,일반
6,구의 증명,최진영,은행나무,2023.04.26,일반
6,삼체 1~3 세트,류츠신,자음과모음,2024.06.07,sf
6,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,2018.06.20,일반
6,인간 실격,다자이 오사무,민음사,2012.04.10,일반
6,내일의 으뜸,김빵,다향,2024.05.24,fantasy
6,홍학의 자리,정해연,엘릭시르,2021.07.26,일반
6,데미안,헤르만 헤세,민음사,2009.01.20,일반
6,마녀와의 7일,히가시노 게이고,현대문학,2024.06.25,일반
6,삼체 1: 삼체문제,류츠신,자음과모음,2022.02.15,일반
6,2024 제15회 젊은작가상 수상작품집,김멜라 외,문학동네,2024.03.31,일반
6,노르웨이의 숲,무라카미 하루키,민음사,2017.08.07,일반
6,맡겨진 소녀,클레어 키건,다산책방,2023.04.21,일반
6,아주 희미한 빛으로도,최은영,문학동네,2023.08.07,일반
6,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
6,파과,구병모,위즈덤하우스,2018.04.16,일반
6,쓰게 될 것,최진영,안온북스,2024.06.14,일반
6,어린 왕자(오리지널 초판본)(무선),앙투안 드 생텍쥐페리,코너스톤,2020.09.22,일반
6,소년이 온다,한강,창비,2014.05.19,일반
6,회색 인간,김동식,요다,2017.12.27,일반
6,여름은 오래 그곳에 남아,마쓰이에 마사시,비채,2016.08.19,일반
6,프로젝트 헤일메리,앤디 위어,알에이치코리아,2021.05.04,sf
6,불편한 편의점 2(단풍 에디션),김호연,나무옆의자,2022.08.10,일반
6,입속 지느러미,조예은,한겨레출판사,2024.05.30,일반
6,녹나무의 파수꾼,히가시노 게이고,소미미디어,2020.03.17,일반
6,후이늠 Houyhnhnm,강화길 외,대한출판문화협회,2024.06.26,일반
6,삼체 2: 암흑의 숲,류츠신,자음과모음,2022.02.15,일반
6,동경,김화진,문학동네,2024.06.20,일반
6,철도원 삼대,황석영,창비,2020.06.05,일반
6,소설 보다: 여름 2024,서장원 외,문학과지성사,2024.06.07,일반
6,나는 소망한다 내게 금지된 것을,양귀자,쓰다,2019.04.20,일반
6,채식주의자,한강,창비,2022.03.28,일반
6,이방인,알베르 카뮈,민음사,2019.09.02,일반
6,당신을 기다리고 있어,김보영,새파란상상,2020.05.26,sf
6,도시와 그 불확실한 벽,무라카미 하루키,문학동네,2023.09.06,일반
6,왜 나는 너를 사랑하는가(70만 부 기념 리커버),알랭 드 보통,청미래,2022.11.10,일반
6,바다가 들리는 편의점 3,마치다 소노코,모모,2024.05.10,일반
6,호밀밭의 파수꾼,제롬 데이비드 샐린저,민음사,2023.01.17,일반
6,나목(아카이브 에디션),박완서,세계사,2024.05.21,일반
6,메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),윤정은,북로망스,2023.03.06,일반
6,종의 기원,정유정,은행나무,2016.05.16,일반
6,데미안: 오리지널 초판본 표지디자인,이미영,코너스톤,2016.07.22,일반
6,디 에센셜 김연수,김연수,문학동네,2024.05.15,일반
6,가재가 노래하는 곳,델리아 오언스,살림,2019.06.21,일반
6,디 에센셜: 프란츠 카프카(교보문고 특별판),프란츠 카프카,민음사,2024.03.15,일반
