Month,Title,Author,Publisher,Publish_Date
11,소년이 온다,한강,창비,2014.05.19
11,채식주의자,한강,창비,2022.03.28
11,작별하지 않는다,한강,문학동네,2021.09.09
11,트럼프 2.0 시대,박종훈,글로퍼스,2024.11.08
11,트렌드 코리아 2025,김난도 외,미래의창,2024.10.07
11,흰,한강,문학동네,2018.04.25
11,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013.11.15
11,우리는 사랑 안에 살고 있다,유혜주 외,21세기북스,2024.11.21
11,넥서스,유발 하라리,김영사,2024.10.11
11,희랍어 시간,한강,문학동네,2011.11.10
11,어른의 행복은 조용하다,태수,페이지2북스,2024.11.04
11,가난한 찰리의 연감,찰리 멍거,김영사,2024.11.08
11,모순,양귀자,쓰다,2013.04.01
11,일의 감각,조수용,REFERENCE BY B,2024.11.10
11,린치핀,세스 고딘,필름(Feelm),2024.11.13
11,해커스 토익 기출 VOCA(보카),David Cho,해커스어학연구소,2024.08.19
11,퓨처 셀프 30만 부 기념 스페셜 에디션,벤저민 하디,상상스퀘어,2024.09.25
11,빛이 이끄는 곳으로,백희성,북로망스,2024.08.21
11,채식주의자(개정판),한강,창비,2022.03.25(종이책 2022년 03월 28일)
11,ETS 토익 정기시험 기출문제집 1000 Vol 4 RC(리딩),ETS,YBM,2023.12.18
11,인생의 의미,토마스 힐란드 에릭센,더퀘스트,2024.09.04
11,ETS 토익 정기시험 기출문제집 1000 Vol 4 LC(리스닝),ETS,YBM,2023.12.18
11,작은 땅의 야수들(리커버 무선판),김주혜,다산책방,2023.06.19
11,머니 트렌드 2025,정태익 외,북모먼트,2024.10.02
11,소년이 온다,한강,창비,2014.05.19(종이책 2014년 05월 19일)
11,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,2024.10.23
11,시대예보: 호명사회,송길영,교보문고,2024.09.25
11,나는 왜 남들보다 쉽게 지칠까,최재훈,서스테인,2024.07.10
11,질투라는 감옥: 우리는 왜 타인에게 휘둘리는가,야마모토 케이,북모먼트,2024.10.16
11,이기는 언어,마티아스 뇔케,더페이지,2024.11.20
11,2025 SEASONS GREETINGS WOOSEOK BYEON,WOOSEOK BYEON(변우석),에프에프컴퍼니,2024.12.24
11,당신에게 분명 좋은 일만 생길 거예요,이슬비,다담북스,2024.05.13
11,김미경의 딥마인드,김미경,어웨이크북스,2024.11.14
11,나이? 유쾌한 반란,와다 히데키,지니의서재,2024.11.20
11,디 에센셜: 한강(무선 보급판),한강,문학동네,2023.06.01
11,박태웅의 AI 강의 2025,박태웅,한빛비즈,2024.09.30
11,나의 인생만사 답사기,유홍준,창비,2024.11.01
11,[단독] 제브라X우이 우리가 사랑한 색 이야기 펜세트,유홍준,창비,2024.11.01
11,"더 퍼지, AI 시대 누가 미래를 이끄는가",한지우,미디어숲,2024.11.20
11,고전이 답했다 마땅히 살아야 할 삶에 대하여(나만의 책 만들기 에디션),고명환,라곰,2024.08.26
11,돈의 심리학(30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,2023.11.06
11,스피노자의 진찰실,나쓰카와 소스케,알토북스,2024.12.10
11,여수의 사랑,한강,문학과지성사,2018.11.09
11,김대리의 취향 니트,바늘이야기 김대리,웅진리빙하우스,2024.11.11
11,행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,2024.07.29
11,작별하지 않는다,한강,문학동네,2021.09.27(종이책 2021년 09월 09일)
11,who? 스페셜 아이브,조약돌,다산어린이,2024.10.23
11,해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,2023.07.24
11,급류,정대건,민음사,2022.12.22
11,불변의 법칙,모건 하우절,서삼독,2024.02.28
11,예약판매세이노의 가르침(올블랙 유광 에디션),세이노(SayNo),데이원,2023.03.02
11,로스트아크 설정집,스마일게이트,대원씨아이,2024.11.06
11,삶을 견디는 기쁨(리커버:K),헤르만 헤세,문예춘추사,2024.02.28
11,당신은 결국 무엇이든 해내는 사람(특별 리커버 에디션),김상현,필름(Feelm),2022.04.20
11,적도 친구로 만드는 무적의 대화법,리우난,지니의서재,2024.11.06
11,빅 트레이더의 주도주 매매법,서희파더(이재상),이레미디어,2024.12.13
11,해커스 토익 LC Listening(리스닝) 기본서,David Cho,해커스어학연구소,2023.07.24
11,가장 나다웠던 인생의 한 페이지,류쉬안 외,굿북마인드,2024.11.10
11,원피스 109: 네 편,EIICHIRO ODA,대원씨아이,2024.10.31
11,주아쌤의 툭 치면 탁 나오는 영어회화,주아쌤(이정은),몽스북,2024.10.11
11,외우지 않는 편안함 동사 X 전치사 도감,권은희,길벗이지톡,2024.08.11
11,부모의 어휘력,김종원,카시오페아,2024.06.17
11,2025 트렌드 모니터,최인수 외,시크릿하우스,2024.10.15
11,The Scent of PAGE : 60ML 룸스프레이(X-MAS 에디션),교보문고,교보문고,2023.11.24
11,GROWTH THEORY: Final Edition [정규 7집] [리패키지],YOUNHA(윤하),KAKAO ENTERTAINMENT,2024.11.19
11,언젠가 우리가 같은 별을 바라본다면,차인표,해결책,2021.12.15
11,바람이 분다 가라,한강,문학과지성사,2010.02.26
