Month,Title,Author,Publisher,Publish_Date,Category
11,소년이 온다,한강,창비,2014.05.19,일반
11,채식주의자,한강,창비,2022.03.28,일반
11,작별하지 않는다,한강,문학동네,2021.09.09,일반
11,흰,한강,문학동네,2018.04.25,일반
11,희랍어 시간,한강,문학동네,2011.11.10,일반
11,모순,양귀자,쓰다,2013.04.01,일반
11,빛이 이끄는 곳으로,백희성,북로망스,2024.08.21,일반
11,작은 땅의 야수들(리커버 무선판),김주혜,다산책방,2023.06.19,일반
11,디 에센셜: 한강(무선 보급판),한강,문학동네,2023.06.01,일반
11,스피노자의 진찰실,나쓰카와 소스케,알토북스,2024.12.10,일반
11,여수의 사랑,한강,문학과지성사,2018.11.09,일반
11,급류,정대건,민음사,2022.12.22,일반
11,바람이 분다 가라,한강,문학과지성사,2010.02.26,일반
11,모우어,천선란,문학동네,2024.11.15,일반
11,검은 사슴,한강,문학동네,2017.12.20,일반
11,대도시의 사랑법,박상영,창비,2019.06.28,일반
11,이중 하나는 거짓말,김애란,문학동네,2024.08.27,일반
11,당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23,mystery
11,아이언 플레임 1,레베카 야로스,북폴리오,2024.11.06,일반
11,면도날,서머싯 몸,민음사,2009.06.30,일반
11,데미안,헤르만 헤세,민음사,2009.01.20,일반
11,디 에센셜: 프리드리히 니체(The Essential Friedrich Nietzche),프리드리히 니체,열린책들,2024.10.30,일반
11,구의 증명,최진영,은행나무,2023.04.26,일반
11,눈물상자,한강,문학동네,2008.05.22,일반
11,내 여자의 열매,한강,문학과지성사,2018.11.09,일반
11,이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27,일반
11,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,일반
11,홍학의 자리,정해연,엘릭시르,2021.07.26,일반
11,그대의 차가운 손,한강,문학과지성사,2002.01.18,일반
11,노랑무늬영원,한강,문학과지성사,2018.11.09,일반
11,나는 소망한다 내게 금지된 것을,양귀자,쓰다,2019.04.20,일반
11,싯다르타,헤르만 헤세,민음사,2002.01.20,일반
11,영원한 천국,정유정,은행나무,2024.08.28,history
11,인간 실격,다자이 오사무,민음사,2012.04.10,일반
11,대온실 수리 보고서,김금희,창비,2024.10.04,일반
11,노르웨이의 숲,무라카미 하루키,민음사,2017.08.07,일반
11,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,2018.06.20,일반
11,브람스를 좋아하세요,프랑수아즈 사강,민음사,2008.05.02,일반
11,불편한 편의점(벚꽃 에디션),김호연,나무옆의자,2021.04.20,일반
11,이방인,알베르 카뮈,민음사,2019.09.02,일반
11,1984,조지 오웰,민음사,2007.03.30,일반
11,파친코 2,이민진,인플루엔셜,2022.08.25,일반
11,파친코 1,이민진,인플루엔셜,2022.08.05,일반
11,내 이름은 태양꽃,한강,문학동네,2002.03.11,일반
11,한강: 회복하는 인간(Convalescence),한강,아시아,2013.06.15,일반
11,파과,구병모,위즈덤하우스,2018.04.16,일반
11,포스 윙,레베카 야로스,북폴리오,2024.06.24,일반
11,밝은 밤,최은영,문학동네,2021.07.27,일반
11,설국,가와바타 야스나리,민음사,2009.01.20,일반
11,천 개의 파랑,천선란,허블,2020.08.19,sf
11,종의 기원,정유정,은행나무,2016.05.16,sf
11,두 사람의 인터내셔널,김기태,문학동네,2024.05.15,일반
11,리버 1,오쿠다 히데오,은행나무,2024.11.01,mystery
11,달과 6펜스,서머싯 몸,민음사,2000.06.20,일반
11,사랑 후에 오는 것들 세트,공지영 외,소담출판사,2024.08.15,romance
11,리틀 라이프 1,한야 야나기하라,시공사,2016.06.16,일반
11,아주 희미한 빛으로도,최은영,문학동네,2023.08.07,일반
11,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
11,노인과 바다,어니스트 헤밍웨이,민음사,2012.01.02,일반
11,불편한 편의점 2(단풍 에디션),김호연,나무옆의자,2022.08.10,일반
11,바깥은 여름,김애란,문학동네,2017.06.28,일반
11,흐르는 강물처럼,셸리 리드,다산책방,2024.01.08,일반
11,멋진 신세계,올더스 헉슬리,소담출판사,2015.06.12,sf
11,미로장의 참극,요코미조 세이시,시공사,2024.11.01,mystery
