Month,Title,Author,Publisher,Publish_Date
9,트렌드 코리아 2025,김난도 외,미래의창,2024.10.07
9,빛이 이끄는 곳으로,백희성,북로망스,2024.08.21
9,언젠가 우리가 같은 별을 바라본다면,차인표,해결책,2021.12.15
9,흔한남매 17,흔한남매,미래엔아이세움,2024.09.11
9,영원한 천국,정유정,은행나무,2024.08.28
9,이중 하나는 거짓말,김애란,문학동네,2024.08.27
9,고전이 답했다 마땅히 살아야 할 삶에 대하여(나만의 책 만들기 에디션),고명환,라곰,2024.08.26
9,불변의 법칙,모건 하우절,서삼독,2024.02.28
9,모순,양귀자,쓰다,2013.04.01
9,해커스 토익 기출 VOCA(보카),David Cho,해커스어학연구소,2024.08.19
9,우울해서 빵을 샀어,안드레아 카스프르작,이든서재,2024.09.03
9,ETS 토익 정기시험 기출문제집 1000 Vol 4 RC(리딩),ETS,YBM,2023.12.18
9,자기주관으로 나의 언어를 만들어라,요시타니 고로,시옷책방,2024.09.15
9,ETS 토익 정기시험 기출문제집 1000 Vol 4 LC(리스닝),ETS,YBM,2023.12.18
9,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,2024.10.23
9,면도날,서머싯 몸,민음사,2009.06.30
9,불안 세대,조너선 하이트,웅진지식하우스,2024.07.31
9,삶을 견디는 기쁨(리커버:K),헤르만 헤세,문예춘추사,2024.02.28
9,돈의 심리학(30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,2023.11.06
9,시대예보: 호명사회,송길영,교보문고,2024.09.25
9,당신은 결국 무엇이든 해내는 사람(특별 리커버 에디션),김상현,필름(Feelm),2022.04.20
9,당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23
9,유비는 왜 그랬을까 1,천위안,리드리드출판,2024.09.25
9,예약판매세이노의 가르침(올블랙 유광 에디션),세이노(SayNo),데이원,2023.03.02
9,돈 공부를 시작하고 인생의 불안이 사라졌다,할미언니,필름(Feelm),2024.09.04
9,머니 트렌드 2025,정태익 외,북모먼트,2024.10.02
9,왜 당신은 다른 사람을 위해 살고 있는가,고윤(페이서스 코리아),딥앤와이드,2024.03.15
9,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(상)",최태성,이투스북,2023.12.01
9,Basic Grammar in Use Student's Book with Answers and Interactive eBook (Revised),Raymond Murphy 외,Cambridge University Press,2017.09.21
9,만일 나에게 단 한 번의 아침이 남아 있다면,존 릴런드,북모먼트,2024.06.26
9,찬란한 멸종,이정모,다산북스,2024.08.07
9,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(하)",최태성,이투스북,2023.12.01
9,생각의 연금술,제임스 알렌 외,포레스트북스,2024.09.25
9,룩 백,Tatsuki Fujimoto,학산문화사,2022.03.25
9,저속노화 식사법,정희원,테이스트북스,2024.07.26
9,흔한남매 과학 탐험대 11: 여러 가지 힘,흔한남매,주니어김영사,2024.08.30
9,THE MONEY BOOK(더 머니북),토스,비바리퍼블리카,2024.05.27
9,너에게 들려주는 단단한 말,김종원,퍼스트펭귄,2024.07.10
9,유랑하는 자본주의자,유랑쓰 임현주,다산북스,2024.10.23
9,무한의 부,왕징,필로틱,2024.10.09
9,자본주의,EBS 자본주의 제작팀,가나출판사,2013.09.27
9,행복의 기원,서은국,21세기북스,2024.05.22
9,행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,2024.07.29
9,마흔에 읽는 쇼펜하우어,강용수,유노북스,2023.09.07
9,"2024 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,2024.01.17
9,3분 철학 1: 서양 고대 철학편,김재훈,카시오페아,2021.07.02
9,토익 단기공략 750+(LC+RC),ETS,YBM,2020.08.20
9,지도로 보아야 보인다,에밀리 오브리 외,사이,2024.07.30
9,허송세월,김훈,나남,2024.06.20
9,유비는 왜그랬을까 2,천위안,리드리드출판,2024.10.10
9,흔한남매 흔한 게임 1,흔한남매,미래엔아이세움,2024.08.29
9,좋은 리더를 넘어 위대한 리더로,짐 콜린스 외,흐름출판,2024.09.05
9,부자의 언어(2025 부의 시크릿 카드 에디션),존 소포릭,윌북,2024.11.21
9,해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,2023.07.24
9,사카모토 데이즈 17(특별판),Yuto Suzuki,대원씨아이,2024.09.30
9,사피엔스 그래픽 히스토리 1: 인류의 탄생,유발 하라리 외,김영사,2020.11.23
9,가벼운 고백,김영민,김영사,2024.07.10
9,내 몸 혁명,박용우,루미너스,2024.01.10
9,화이트홀,카를로 로벨리,쌤앤파커스,2024.09.01
9,초역 부처의 말,코이케 류노스케,포레스트북스,2024.05.30
9,나는 도대체 왜 피곤할까,에이미 샤,북플레저,2024.07.10
9,돈의 속성(300쇄 리커버에디션),김승호,스노우폭스북스,2020.06.15
9,나는 메트로폴리탄 미술관의 경비원입니다(20만 부 기념 양장 에디션),패트릭 브링리,웅진지식하우스,2023.11.24
9,한 권으로 끝내는 해커스 토익 700+(LC+RC+VOCA),해커스 어학연구소,해커스어학연구소,2023.07.03
9,주술회전 27: 바보 서바이버!!,Gege Akutami,서울미디어코믹스(서울문화사),2024.08.25
9,2024 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사,해커스 GSAT 취업교육연구소,해커스잡,2024.01.02
9,오롯이 내 인생이잖아요,장명숙 외,김영사,2024.08.28
9,즐거운 어른,이옥선,이야기장수,2024.08.26
9,해커스 토익 LC Listening(리스닝) 기본서,David Cho,해커스어학연구소,2023.07.24
9,그래머 게이트웨이 베이직: 초보를 위한 기초 영문법(Grammar Gateway Basic),David Cho,해커스어학연구소,2023.02.06
9,백설공주에게 죽음을,넬레 노이하우스,북로드,2024.05.24
9,빨모쌤의 라이브 영어회화,신용하,웅진지식하우스,2024.07.29
9,쇼펜하우어 인생수업: 한 번뿐인 삶 이렇게 살아라,쇼펜하우어,하이스트,2024.02.20
9,더 좋은 문장을 쓰고 싶은 당신을 위한 필사책,이주윤,빅피시,2024.08.07
9,사카모토 데이즈 17: 엔트리,Yuto Suzuki,대원씨아이,2024.09.30
9,푸른 들판을 걷다,클레어 키건,다산책방,2024.08.16
9,오케이 다시 한번 해볼게요,박여름,히읏,2024.08.19
9,어른의 감정력,티보 뫼리스,오픈도어북스,2024.09.01
9,죽이고 싶은 아이 2,이꽃님,우리학교,2024.07.01
9,설민석의 한국사 대모험 30,설민석 외,단꿈아이,2024.08.26
9,데미안,헤르만 헤세,민음사,2009.01.20
9,데일 카네기 인간관계론(무삭제 최신 완역본),데일 카네기,더스토리,2024.08.16
9,2025 써니 행정법총론 기출문제집 세트,박준철,지금,2024.09.20
9,리틀 라이프 1,한야 야나기하라,시공사,2016.06.16
9,임신 출산 육아 대백과(2024-2025),삼성출판사 편집부,삼성출판사,2024.07.15
9,파친코 1,이민진,인플루엔셜,2022.08.05
9,"다시, 역사의 쓸모",최태성,프런트페이지,2024.07.29
9,영어로 문장 만들기 훈련 1차 임계점,유은하,사람in,2024.07.15
9,열혈강호 91,전극진,대원씨아이,2024.08.31
9,철학의 쓸모,로랑스 드빌레르,피카(FIKA),2024.08.20
9,부모의 어휘력,김종원,카시오페아,2024.06.17
9,사피엔스,유발 하라리,김영사,2023.04.01
9,파란 마음 북커버,유발 하라리,김영사,2023.04.01
9,코스모스,칼 세이건,사이언스북스,2010.01.20
9,프랭클린 익스프레스,에릭 와이너,어크로스,2024.09.02
9,마음이 부자인 아이는 어떻게 성장하는가,박소영,북크레용,2024.09.25
9,ETS 토익기출 파트별 VOCA,ETS,YBM,2022.12.23
9,물고기는 존재하지 않는다,룰루 밀러,곰출판,2021.12.17
9,전지적 루이 & 후이 시점,송영관,위즈덤하우스,2024.07.31
9,에그박사 13,에그박사,미래엔아이세움,2024.08.08
