Month,Title,Author,Publisher,Publish_Date,Category
8,당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23,mystery
8,모순,양귀자,쓰다,2013.04.01,일반
8,이중 하나는 거짓말,김애란,문학동네,2024.08.27,일반
8,영원한 천국,정유정,은행나무,2024.08.28,일반
8,빛이 이끄는 곳으로,백희성,북로망스,2024.08.21,일반
8,홍학의 자리,정해연,엘릭시르,2021.07.26,일반
8,우리에게 남은 시간 46일,이설,하이스트,2024.01.29,일반
8,백설공주에게 죽음을,넬레 노이하우스,북로드,2024.05.24,mystery
8,면도날,서머싯 몸,민음사,2009.06.30,일반
8,푸른 들판을 걷다,클레어 키건,다산책방,2024.08.16,일반
8,리틀 라이프 1,한야 야나기하라,시공사,2016.06.16,일반
8,헬로 뷰티풀,앤 나폴리타노,복복서가,2024.08.27,일반
8,구의 증명,최진영,은행나무,2023.04.26,일반
8,네가 유성처럼 스러지는 모습을 지켜볼 운명이었다,미나토 쇼,필름(Feelm),2024.07.17,romance
8,흐르는 강물처럼,셸리 리드,다산책방,2024.01.08,일반
8,두 사람의 인터내셔널,김기태,문학동네,2024.05.15,일반
8,아이가 없는 집,알렉스 안도릴,필름(Feelm),2024.06.12,mystery
8,데미안,헤르만 헤세,민음사,2009.01.20,일반
8,불편한 편의점(벚꽃 에디션),김호연,나무옆의자,2021.04.20,일반
8,인간 실격,다자이 오사무,민음사,2012.04.10,일반
8,이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27,일반
8,싯다르타,헤르만 헤세,민음사,2002.01.20,일반
8,나의 눈부신 친구,엘레나 페란테,한길사,2016.07.07,일반
8,리틀 라이프 2,한야 야나기하라,시공사,2016.06.16,일반
8,나의 돈키호테,김호연,나무옆의자,2024.04.25,일반
8,어린 왕자(오리지널 초판본)(무선),앙투안 드 생텍쥐페리,코너스톤,2020.09.22,일반
8,포스 윙,레베카 야로스,북폴리오,2024.06.24,일반
8,사랑과 결함,예소연,문학동네,2024.07.26,일반
8,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
8,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,2018.06.20,일반
8,음악소설집,김애란 외,프란츠,2024.07.01,일반
