월,추리/미스터리,공포/스릴러,판타지,무협,SF,역사,로맨스
1,32.1,10.7,28.6,0,10.7,10.7,7.1
2,33.3,18.5,18.5,0,22.2,0,7.4
3,25,3.6,14.3,0,46.4,3.6,7.1
4,17.4,8.7,26.1,0,26.1,0,21.7
5,33.3,5.6,16.7,0,22.2,5.6,16.7
6,28.1,9.4,21.9,0,21.9,3.1,15.6
7,40,10,16.7,0,30,3.3,0
8,25.8,19.4,16.1,0,25.8,3.2,9.7
9,36.4,21.2,15.2,0,15.2,6.1,6.1
10,28.6,4.8,19,0,33.3,4.8,9.5
11,50,0,30,0,10,5,5
12,39.1,0,43.5,0,4.3,4.3,8.7
