Title,Author,Publisher,Date
이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27
메리골드 마음 사진관,윤정은,북로망스,2024.01.12
모순,양귀자,쓰다,2013.04.01
아주 희미한 빛으로도,최은영,문학동네,2023.08.07
맡겨진 소녀,클레어 키건,다산책방,2023.04.21
황금종이 1,조정래,해냄출판사,2023.11.21
도시와 그 불확실한 벽,무라카미 하루키,문학동네,2023.09.06
트러스트,에르난 디아스,문학동네,2023.02.24
황금종이 2,조정래,해냄출판사,2023.11.21
불편한 편의점(벚꽃 에디션),김호연,나무옆의자,2021.04.20
각각의 계절,권여선,문학동네,2023.05.07
메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),윤정은,북로망스,2023.03.06
구의 증명,최진영,은행나무,2023.04.26
작별하지 않는다,한강,문학동네,2021.09.09
인간 실격,다자이 오사무,민음사,2012.04.10
사라진 것들,앤드루 포터,문학동네,2024.01.15
바다가 들리는 편의점(홀리데이 에디션),마치다 소노코,모모,2024.12.18
데미안,헤르만 헤세,민음사,2009.01.20
"버지니아 울프, 문장의 기억(양장본 초판 버지니아 사인 인쇄본)",버지니아 울프,센텐스(SENTENCE),2024.01.15
참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,2018.06.20
