Title,Author,Publisher,Date
영원한 천국,정유정,은행나무,2024.08.28
이중 하나는 거짓말,김애란,문학동네,2024.08.27
빛이 이끄는 곳으로,백희성,북로망스,2024.08.21
당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23
모순,양귀자,쓰다,2013.04.01
면도날,서머싯 몸,민음사,2009.06.30
파친코 1,이민진,인플루엔셜,2022.08.05
구의 증명,최진영,은행나무,2023.04.26
리틀 라이프 1,한야 야나기하라,시공사,2016.06.16
홍학의 자리,정해연,엘릭시르,2021.07.26
급류,정대건,민음사,2022.12.22
인간 실격,다자이 오사무,민음사,2012.04.10
데미안,헤르만 헤세,민음사,2009.01.20
백설공주에게 죽음을,넬레 노이하우스,북로드,2024.05.24
세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09
우리에게 남은 시간 46일,이설,하이스트,2024.01.29
푸른 들판을 걷다,클레어 키건,다산책방,2024.08.16
채식주의자,한강,창비,2022.03.28
싯다르타,헤르만 헤세,민음사,2002.01.20
