Title,Author,Publisher,Date
이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27
모순,양귀자,쓰다,2013.04.01
구의 증명,최진영,은행나무,2023.04.26
메리골드 마음 사진관,윤정은,북로망스,2024.01.12
인간 실격,다자이 오사무,민음사,2012.04.10
아주 희미한 빛으로도,최은영,문학동네,2023.08.07
불편한 편의점(벚꽃 에디션),김호연,나무옆의자,2021.04.20
맡겨진 소녀,클레어 키건,다산책방,2023.04.21
바다가 들리는 편의점,마치다 소노코,모모,2023.03.24
도시와 그 불확실한 벽,무라카미 하루키,문학동네,2023.09.06
금단의 마술,히가시노 게이고,재인,2023.10.27
메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),윤정은,북로망스,2023.03.06
마지막 마음이 들리는 공중전화,이수연,클레이하우스,2024.01.15
트러스트,에르난 디아스,문학동네,2023.02.24
말하고 싶은 비밀,사쿠라 이이요,모모,2023.12.08
황금종이 1,조정래,해냄출판사,2023.11.21
데미안,헤르만 헤세,민음사,2009.01.20
살인자의 쇼핑몰 1,강지영,자음과모음,2020.02.14
파과,구병모,위즈덤하우스,2018.04.16
세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09
