Title,Author,Publisher,Date
소년이 온다,한강,창비,2014.05.19
채식주의자,한강,창비,2022.03.28
작별하지 않는다,한강,문학동네,2021.09.09
흰,한강,문학동네,2018.04.25
희랍어 시간,한강,문학동네,2011.11.10
모순,양귀자,쓰다,2013.04.01
디 에센셜: 한강(무선 보급판),한강,문학동네,2023.06.01
급류,정대건,민음사,2022.12.22
작은 땅의 야수들(리커버 무선판),김주혜,다산책방,2023.06.19
여수의 사랑,한강,문학과지성사,2018.11.09
검은 사슴,한강,문학동네,2017.12.20
바람이 분다 가라,한강,문학과지성사,2010.02.26
빛이 이끄는 곳으로,백희성,북로망스,2024.08.21
구의 증명,최진영,은행나무,2023.04.26
대도시의 사랑법,박상영,창비,2019.06.28
당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23
그대의 차가운 손,한강,문학과지성사,2002.01.18
모우어,천선란,문학동네,2024.11.15
홍학의 자리,정해연,엘릭시르,2021.07.26
데미안,헤르만 헤세,민음사,2009.01.20
